   Elapsed time	    ECG	domen_1	domen_2	domen_3	domen_4	domen_5
       0:00.034	  1.415	  0.399	  0.804	  0.312	  0.226	  0.216
       0:00.035	  1.305	  0.416	  0.805	  0.311	  0.220	  0.202
       0:00.036	  1.187	  0.437	  0.812	  0.313	  0.215	  0.189
       0:00.037	  1.074	  0.463	  0.822	  0.317	  0.212	  0.177
       0:00.038	  0.965	  0.488	  0.835	  0.324	  0.213	  0.168
       0:00.039	  0.850	  0.511	  0.848	  0.333	  0.214	  0.162
       0:00.040	  0.736	  0.531	  0.860	  0.341	  0.219	  0.159
       0:00.041	  0.629	  0.545	  0.870	  0.350	  0.224	  0.158
       0:00.042	  0.524	  0.556	  0.878	  0.359	  0.231	  0.161
       0:00.043	  0.426	  0.562	  0.886	  0.369	  0.239	  0.168
       0:00.044	  0.334	  0.565	  0.890	  0.376	  0.250	  0.176
       0:00.045	  0.248	  0.562	  0.891	  0.382	  0.257	  0.184
       0:00.046	  0.158	  0.556	  0.886	  0.383	  0.263	  0.189
       0:00.047	  0.069	  0.548	  0.879	  0.381	  0.264	  0.190
       0:00.048	 -0.016	  0.539	  0.869	  0.376	  0.261	  0.187
       0:00.049	 -0.095	  0.535	  0.857	  0.370	  0.256	  0.182
       0:00.050	 -0.170	  0.532	  0.849	  0.362	  0.251	  0.175
       0:00.051	 -0.237	  0.532	  0.839	  0.355	  0.242	  0.167
       0:00.052	 -0.281	  0.533	  0.829	  0.346	  0.232	  0.157
       0:00.053	 -0.292	  0.534	  0.819	  0.338	  0.221	  0.145
       0:00.054	 -0.285	  0.533	  0.807	  0.329	  0.210	  0.133
       0:00.055	 -0.267	  0.534	  0.798	  0.321	  0.198	  0.120
       0:00.056	 -0.242	  0.533	  0.791	  0.316	  0.189	  0.110
       0:00.057	 -0.217	  0.534	  0.785	  0.313	  0.183	  0.102
       0:00.058	 -0.197	  0.532	  0.781	  0.312	  0.179	  0.097
       0:00.059	 -0.176	  0.528	  0.779	  0.312	  0.177	  0.097
       0:00.060	 -0.156	  0.521	  0.776	  0.312	  0.177	  0.099
       0:00.061	 -0.144	  0.514	  0.775	  0.312	  0.178	  0.104
       0:00.062	 -0.140	  0.505	  0.773	  0.312	  0.182	  0.111
       0:00.063	 -0.141	  0.497	  0.772	  0.315	  0.187	  0.120
       0:00.064	 -0.141	  0.488	  0.771	  0.316	  0.192	  0.129
       0:00.065	 -0.141	  0.479	  0.767	  0.317	  0.198	  0.136
       0:00.066	 -0.149	  0.471	  0.763	  0.317	  0.202	  0.142
       0:00.067	 -0.161	  0.463	  0.757	  0.316	  0.205	  0.146
       0:00.068	 -0.163	  0.459	  0.752	  0.315	  0.208	  0.148
       0:00.069	 -0.167	  0.456	  0.746	  0.314	  0.207	  0.148
       0:00.070	 -0.179	  0.456	  0.742	  0.313	  0.205	  0.146
       0:00.071	 -0.187	  0.457	  0.736	  0.311	  0.199	  0.142
       0:00.072	 -0.195	  0.459	  0.728	  0.306	  0.191	  0.135
       0:00.073	 -0.197	  0.460	  0.720	  0.301	  0.182	  0.126
       0:00.074	 -0.198	  0.462	  0.711	  0.294	  0.173	  0.116
       0:00.075	 -0.198	  0.466	  0.704	  0.289	  0.166	  0.105
       0:00.076	 -0.199	  0.470	  0.700	  0.285	  0.163	  0.098
       0:00.077	 -0.198	  0.475	  0.697	  0.283	  0.159	  0.093
       0:00.078	 -0.199	  0.476	  0.695	  0.281	  0.160	  0.091
       0:00.079	 -0.201	  0.475	  0.694	  0.280	  0.160	  0.090
       0:00.080	 -0.205	  0.469	  0.691	  0.279	  0.161	  0.091
       0:00.081	 -0.205	  0.461	  0.688	  0.278	  0.163	  0.093
       0:00.082	 -0.202	  0.451	  0.686	  0.279	  0.165	  0.097
       0:00.083	 -0.207	  0.442	  0.683	  0.281	  0.168	  0.103
       0:00.084	 -0.213	  0.432	  0.680	  0.283	  0.172	  0.108
       0:00.085	 -0.213	  0.421	  0.675	  0.285	  0.177	  0.115
       0:00.086	 -0.214	  0.412	  0.670	  0.286	  0.179	  0.120
       0:00.087	 -0.216	  0.403	  0.664	  0.283	  0.180	  0.122
       0:00.088	 -0.216	  0.395	  0.656	  0.280	  0.179	  0.123
       0:00.089	 -0.216	  0.391	  0.651	  0.275	  0.178	  0.124
       0:00.090	 -0.220	  0.391	  0.646	  0.270	  0.175	  0.123
       0:00.091	 -0.225	  0.394	  0.642	  0.266	  0.171	  0.121
       0:00.092	 -0.225	  0.399	  0.638	  0.262	  0.167	  0.116
       0:00.093	 -0.221	  0.404	  0.634	  0.256	  0.161	  0.109
       0:00.094	 -0.223	  0.408	  0.630	  0.251	  0.155	  0.101
       0:00.095	 -0.230	  0.413	  0.627	  0.246	  0.149	  0.093
       0:00.096	 -0.231	  0.417	  0.626	  0.243	  0.143	  0.086
       0:00.097	 -0.231	  0.419	  0.625	  0.240	  0.139	  0.081
       0:00.098	 -0.232	  0.418	  0.624	  0.239	  0.135	  0.078
       0:00.099	 -0.234	  0.413	  0.621	  0.237	  0.132	  0.076
       0:00.100	 -0.236	  0.405	  0.617	  0.235	  0.130	  0.076
       0:00.101	 -0.233	  0.396	  0.613	  0.235	  0.130	  0.078
       0:00.102	 -0.227	  0.386	  0.608	  0.234	  0.134	  0.082
       0:00.103	 -0.227	  0.379	  0.604	  0.236	  0.140	  0.088
       0:00.104	 -0.229	  0.373	  0.601	  0.241	  0.148	  0.095
       0:00.105	 -0.225	  0.365	  0.597	  0.245	  0.156	  0.103
       0:00.106	 -0.224	  0.357	  0.592	  0.247	  0.163	  0.109
       0:00.107	 -0.228	  0.350	  0.586	  0.248	  0.166	  0.115
       0:00.108	 -0.225	  0.344	  0.580	  0.247	  0.167	  0.116
       0:00.109	 -0.220	  0.340	  0.573	  0.244	  0.165	  0.116
       0:00.110	 -0.214	  0.340	  0.568	  0.240	  0.163	  0.112
       0:00.111	 -0.217	  0.341	  0.563	  0.235	  0.158	  0.106
       0:00.112	 -0.224	  0.343	  0.558	  0.230	  0.152	  0.097
       0:00.113	 -0.225	  0.346	  0.552	  0.223	  0.143	  0.086
       0:00.114	 -0.222	  0.348	  0.546	  0.215	  0.133	  0.073
       0:00.115	 -0.224	  0.351	  0.539	  0.208	  0.122	  0.060
       0:00.116	 -0.225	  0.353	  0.535	  0.202	  0.112	  0.049
       0:00.117	 -0.220	  0.355	  0.531	  0.197	  0.105	  0.042
       0:00.118	 -0.217	  0.355	  0.529	  0.196	  0.100	  0.039
       0:00.119	 -0.220	  0.353	  0.528	  0.197	  0.099	  0.040
       0:00.120	 -0.223	  0.347	  0.526	  0.199	  0.101	  0.042
       0:00.121	 -0.225	  0.341	  0.524	  0.202	  0.105	  0.047
       0:00.122	 -0.223	  0.333	  0.523	  0.206	  0.111	  0.054
       0:00.123	 -0.223	  0.326	  0.522	  0.209	  0.116	  0.061
       0:00.124	 -0.225	  0.318	  0.520	  0.213	  0.124	  0.067
       0:00.125	 -0.221	  0.310	  0.518	  0.214	  0.130	  0.074
       0:00.126	 -0.219	  0.300	  0.513	  0.216	  0.134	  0.079
       0:00.127	 -0.218	  0.291	  0.507	  0.214	  0.136	  0.080
       0:00.128	 -0.219	  0.284	  0.502	  0.211	  0.136	  0.079
       0:00.129	 -0.218	  0.280	  0.497	  0.208	  0.134	  0.078
       0:00.130	 -0.216	  0.279	  0.493	  0.205	  0.131	  0.073
       0:00.131	 -0.215	  0.280	  0.490	  0.202	  0.126	  0.067
       0:00.132	 -0.217	  0.284	  0.486	  0.199	  0.118	  0.057
       0:00.133	 -0.212	  0.288	  0.480	  0.194	  0.111	  0.048
       0:00.134	 -0.206	  0.292	  0.473	  0.189	  0.102	  0.037
       0:00.135	 -0.203	  0.297	  0.468	  0.184	  0.093	  0.028
       0:00.136	 -0.202	  0.303	  0.464	  0.181	  0.088	  0.021
       0:00.137	 -0.198	  0.309	  0.462	  0.180	  0.086	  0.017
       0:00.138	 -0.195	  0.314	  0.462	  0.180	  0.086	  0.016
       0:00.139	 -0.191	  0.316	  0.464	  0.182	  0.089	  0.018
       0:00.140	 -0.189	  0.316	  0.465	  0.185	  0.093	  0.021
       0:00.141	 -0.185	  0.313	  0.465	  0.188	  0.099	  0.027
       0:00.142	 -0.183	  0.308	  0.465	  0.191	  0.105	  0.033
       0:00.143	 -0.185	  0.301	  0.465	  0.196	  0.112	  0.042
       0:00.144	 -0.184	  0.294	  0.465	  0.201	  0.120	  0.053
       0:00.145	 -0.181	  0.287	  0.464	  0.205	  0.127	  0.062
       0:00.146	 -0.179	  0.278	  0.461	  0.207	  0.130	  0.071
       0:00.147	 -0.177	  0.270	  0.458	  0.207	  0.133	  0.079
       0:00.148	 -0.177	  0.265	  0.454	  0.206	  0.134	  0.083
       0:00.149	 -0.180	  0.264	  0.451	  0.204	  0.133	  0.084
       0:00.150	 -0.180	  0.266	  0.449	  0.201	  0.132	  0.084
       0:00.151	 -0.177	  0.272	  0.446	  0.197	  0.130	  0.081
       0:00.152	 -0.176	  0.277	  0.444	  0.191	  0.126	  0.076
       0:00.153	 -0.174	  0.284	  0.440	  0.185	  0.119	  0.067
       0:00.154	 -0.178	  0.290	  0.436	  0.179	  0.112	  0.058
       0:00.155	 -0.183	  0.294	  0.434	  0.175	  0.105	  0.049
       0:00.156	 -0.177	  0.299	  0.431	  0.171	  0.098	  0.040
       0:00.157	 -0.174	  0.302	  0.430	  0.169	  0.094	  0.034
       0:00.158	 -0.176	  0.304	  0.430	  0.171	  0.092	  0.031
       0:00.159	 -0.176	  0.303	  0.430	  0.173	  0.091	  0.030
       0:00.160	 -0.176	  0.299	  0.430	  0.176	  0.095	  0.033
       0:00.161	 -0.172	  0.292	  0.430	  0.180	  0.099	  0.037
       0:00.162	 -0.168	  0.285	  0.430	  0.183	  0.105	  0.043
       0:00.163	 -0.170	  0.277	  0.429	  0.187	  0.110	  0.051
       0:00.164	 -0.167	  0.269	  0.428	  0.190	  0.116	  0.059
       0:00.165	 -0.163	  0.261	  0.425	  0.193	  0.120	  0.067
       0:00.166	 -0.161	  0.252	  0.421	  0.193	  0.123	  0.075
       0:00.167	 -0.159	  0.244	  0.416	  0.193	  0.123	  0.079
       0:00.168	 -0.158	  0.238	  0.412	  0.191	  0.119	  0.083
       0:00.169	 -0.158	  0.236	  0.408	  0.190	  0.114	  0.082
       0:00.170	 -0.158	  0.237	  0.404	  0.188	  0.109	  0.079
       0:00.171	 -0.155	  0.240	  0.401	  0.185	  0.103	  0.074
       0:00.172	 -0.152	  0.244	  0.397	  0.180	  0.096	  0.066
       0:00.173	 -0.149	  0.247	  0.391	  0.175	  0.089	  0.056
       0:00.174	 -0.149	  0.251	  0.385	  0.167	  0.081	  0.048
       0:00.175	 -0.150	  0.255	  0.379	  0.161	  0.075	  0.038
       0:00.176	 -0.148	  0.260	  0.375	  0.156	  0.070	  0.031
       0:00.177	 -0.144	  0.263	  0.372	  0.151	  0.068	  0.028
       0:00.178	 -0.146	  0.265	  0.370	  0.149	  0.069	  0.026
       0:00.179	 -0.146	  0.264	  0.368	  0.147	  0.071	  0.026
       0:00.180	 -0.147	  0.261	  0.367	  0.148	  0.076	  0.027
       0:00.181	 -0.145	  0.257	  0.368	  0.149	  0.081	  0.031
       0:00.182	 -0.143	  0.253	  0.369	  0.152	  0.088	  0.036
       0:00.183	 -0.142	  0.247	  0.371	  0.156	  0.095	  0.045
       0:00.184	 -0.140	  0.241	  0.373	  0.161	  0.102	  0.056
       0:00.185	 -0.139	  0.234	  0.375	  0.164	  0.109	  0.066
       0:00.186	 -0.139	  0.228	  0.375	  0.167	  0.114	  0.074
       0:00.187	 -0.137	  0.223	  0.372	  0.169	  0.118	  0.081
       0:00.188	 -0.130	  0.220	  0.370	  0.169	  0.120	  0.083
       0:00.189	 -0.125	  0.219	  0.367	  0.167	  0.118	  0.084
       0:00.190	 -0.125	  0.221	  0.363	  0.166	  0.116	  0.081
       0:00.191	 -0.124	  0.224	  0.360	  0.164	  0.112	  0.076
       0:00.192	 -0.122	  0.230	  0.355	  0.161	  0.108	  0.069
       0:00.193	 -0.120	  0.234	  0.348	  0.157	  0.101	  0.061
       0:00.194	 -0.118	  0.239	  0.344	  0.151	  0.094	  0.052
       0:00.195	 -0.117	  0.244	  0.341	  0.147	  0.088	  0.045
       0:00.196	 -0.115	  0.250	  0.341	  0.144	  0.085	  0.040
       0:00.197	 -0.110	  0.255	  0.343	  0.143	  0.082	  0.037
       0:00.198	 -0.105	  0.257	  0.346	  0.143	  0.082	  0.037
       0:00.199	 -0.102	  0.256	  0.349	  0.146	  0.085	  0.039
       0:00.200	 -0.102	  0.254	  0.351	  0.147	  0.087	  0.044
       0:00.201	 -0.096	  0.249	  0.352	  0.149	  0.092	  0.050
       0:00.202	 -0.093	  0.244	  0.352	  0.152	  0.099	  0.060
       0:00.203	 -0.094	  0.237	  0.353	  0.157	  0.107	  0.070
       0:00.204	 -0.089	  0.231	  0.353	  0.160	  0.116	  0.079
       0:00.205	 -0.083	  0.224	  0.351	  0.162	  0.124	  0.088
       0:00.206	 -0.081	  0.218	  0.349	  0.162	  0.130	  0.095
       0:00.207	 -0.080	  0.213	  0.345	  0.162	  0.134	  0.099
       0:00.208	 -0.076	  0.211	  0.342	  0.161	  0.136	  0.101
       0:00.209	 -0.069	  0.211	  0.340	  0.159	  0.135	  0.102
       0:00.210	 -0.067	  0.214	  0.338	  0.158	  0.133	  0.101
       0:00.211	 -0.068	  0.218	  0.336	  0.156	  0.130	  0.100
       0:00.212	 -0.069	  0.223	  0.333	  0.152	  0.124	  0.094
       0:00.213	 -0.064	  0.226	  0.329	  0.148	  0.118	  0.086
       0:00.214	 -0.056	  0.228	  0.326	  0.143	  0.110	  0.076
       0:00.215	 -0.054	  0.233	  0.323	  0.138	  0.103	  0.067
       0:00.216	 -0.053	  0.236	  0.320	  0.135	  0.099	  0.062
       0:00.217	 -0.052	  0.239	  0.319	  0.132	  0.096	  0.060
       0:00.218	 -0.049	  0.240	  0.319	  0.131	  0.095	  0.061
       0:00.219	 -0.046	  0.237	  0.318	  0.131	  0.095	  0.064
       0:00.220	 -0.045	  0.231	  0.316	  0.132	  0.096	  0.068
       0:00.221	 -0.039	  0.223	  0.316	  0.134	  0.099	  0.076
       0:00.222	 -0.035	  0.215	  0.315	  0.136	  0.104	  0.084
       0:00.223	 -0.033	  0.207	  0.317	  0.140	  0.110	  0.094
       0:00.224	 -0.031	  0.199	  0.318	  0.145	  0.120	  0.103
       0:00.225	 -0.029	  0.192	  0.319	  0.147	  0.127	  0.112
       0:00.226	 -0.030	  0.185	  0.319	  0.150	  0.135	  0.120
       0:00.227	 -0.028	  0.180	  0.318	  0.150	  0.140	  0.124
       0:00.228	 -0.026	  0.176	  0.315	  0.150	  0.143	  0.128
       0:00.229	 -0.024	  0.174	  0.310	  0.148	  0.143	  0.128
       0:00.230	 -0.022	  0.176	  0.304	  0.147	  0.141	  0.124
       0:00.231	 -0.016	  0.179	  0.300	  0.144	  0.137	  0.120
       0:00.232	 -0.010	  0.182	  0.294	  0.140	  0.130	  0.112
       0:00.233	 -0.003	  0.187	  0.289	  0.136	  0.122	  0.103
       0:00.234	  0.001	  0.191	  0.284	  0.132	  0.113	  0.094
       0:00.235	 -0.001	  0.197	  0.281	  0.129	  0.106	  0.086
       0:00.236	  0.002	  0.204	  0.282	  0.128	  0.101	  0.083
       0:00.237	  0.010	  0.211	  0.285	  0.130	  0.099	  0.081
       0:00.238	  0.017	  0.216	  0.289	  0.133	  0.101	  0.084
       0:00.239	  0.017	  0.217	  0.293	  0.138	  0.104	  0.089
       0:00.240	  0.021	  0.215	  0.295	  0.141	  0.109	  0.095
       0:00.241	  0.030	  0.210	  0.296	  0.145	  0.114	  0.101
       0:00.242	  0.033	  0.202	  0.296	  0.148	  0.120	  0.109
       0:00.243	  0.030	  0.193	  0.295	  0.152	  0.127	  0.117
       0:00.244	  0.026	  0.184	  0.293	  0.156	  0.134	  0.126
       0:00.245	  0.030	  0.174	  0.289	  0.159	  0.140	  0.134
       0:00.246	  0.035	  0.165	  0.285	  0.161	  0.144	  0.141
       0:00.247	  0.039	  0.156	  0.281	  0.160	  0.146	  0.143
       0:00.248	  0.044	  0.151	  0.276	  0.159	  0.147	  0.145
       0:00.249	  0.048	  0.150	  0.271	  0.158	  0.147	  0.142
       0:00.250	  0.053	  0.152	  0.268	  0.156	  0.147	  0.140
       0:00.251	  0.058	  0.157	  0.265	  0.154	  0.146	  0.135
       0:00.252	  0.059	  0.162	  0.263	  0.150	  0.143	  0.128
       0:00.253	  0.061	  0.167	  0.260	  0.145	  0.136	  0.120
       0:00.254	  0.064	  0.172	  0.257	  0.140	  0.127	  0.111
       0:00.255	  0.064	  0.176	  0.254	  0.135	  0.120	  0.103
       0:00.256	  0.067	  0.181	  0.252	  0.130	  0.112	  0.096
       0:00.257	  0.070	  0.186	  0.252	  0.128	  0.107	  0.091
       0:00.258	  0.070	  0.187	  0.252	  0.127	  0.105	  0.088
       0:00.259	  0.068	  0.186	  0.252	  0.126	  0.104	  0.087
       0:00.260	  0.068	  0.180	  0.252	  0.124	  0.105	  0.087
       0:00.261	  0.070	  0.174	  0.251	  0.124	  0.107	  0.090
       0:00.262	  0.073	  0.166	  0.250	  0.124	  0.112	  0.095
       0:00.263	  0.076	  0.159	  0.249	  0.126	  0.118	  0.102
       0:00.264	  0.080	  0.152	  0.248	  0.130	  0.126	  0.111
       0:00.265	  0.085	  0.145	  0.247	  0.133	  0.134	  0.120
       0:00.266	  0.086	  0.138	  0.245	  0.135	  0.140	  0.129
       0:00.267	  0.084	  0.131	  0.245	  0.137	  0.146	  0.135
       0:00.268	  0.080	  0.128	  0.243	  0.137	  0.148	  0.139
       0:00.269	  0.077	  0.128	  0.244	  0.135	  0.150	  0.140
       0:00.270	  0.075	  0.132	  0.243	  0.133	  0.148	  0.138
       0:00.271	  0.077	  0.138	  0.242	  0.129	  0.144	  0.133
       0:00.272	  0.077	  0.144	  0.239	  0.123	  0.137	  0.124
       0:00.273	  0.077	  0.151	  0.234	  0.117	  0.130	  0.115
       0:00.274	  0.073	  0.157	  0.229	  0.112	  0.121	  0.104
       0:00.275	  0.067	  0.164	  0.224	  0.105	  0.112	  0.094
       0:00.276	  0.070	  0.170	  0.220	  0.101	  0.105	  0.086
       0:00.277	  0.071	  0.173	  0.217	  0.098	  0.098	  0.079
       0:00.278	  0.069	  0.174	  0.215	  0.095	  0.091	  0.075
       0:00.279	  0.066	  0.171	  0.213	  0.092	  0.087	  0.071
       0:00.280	  0.062	  0.163	  0.211	  0.090	  0.085	  0.069
       0:00.281	  0.061	  0.156	  0.209	  0.089	  0.085	  0.069
       0:00.282	  0.058	  0.146	  0.208	  0.090	  0.088	  0.071
       0:00.283	  0.051	  0.137	  0.209	  0.092	  0.093	  0.078
       0:00.284	  0.046	  0.130	  0.209	  0.095	  0.099	  0.084
       0:00.285	  0.046	  0.121	  0.210	  0.096	  0.105	  0.092
       0:00.286	  0.046	  0.113	  0.209	  0.096	  0.109	  0.097
       0:00.287	  0.045	  0.108	  0.206	  0.096	  0.110	  0.100
       0:00.288	  0.047	  0.103	  0.201	  0.093	  0.108	  0.100
       0:00.289	  0.048	  0.102	  0.198	  0.090	  0.104	  0.097
       0:00.290	  0.043	  0.104	  0.193	  0.086	  0.097	  0.092
       0:00.291	  0.037	  0.109	  0.189	  0.082	  0.089	  0.085
       0:00.292	  0.031	  0.115	  0.183	  0.076	  0.078	  0.076
       0:00.293	  0.029	  0.121	  0.179	  0.070	  0.066	  0.063
       0:00.294	  0.027	  0.128	  0.176	  0.064	  0.054	  0.050
       0:00.295	  0.023	  0.136	  0.176	  0.059	  0.043	  0.036
       0:00.296	  0.017	  0.144	  0.177	  0.057	  0.034	  0.024
       0:00.297	  0.012	  0.151	  0.179	  0.057	  0.026	  0.013
       0:00.298	  0.006	  0.154	  0.184	  0.058	  0.022	  0.006
       0:00.299	  0.001	  0.156	  0.188	  0.062	  0.021	  0.002
       0:00.300	 -0.002	  0.152	  0.191	  0.066	  0.024	  0.001
       0:00.301	 -0.007	  0.146	  0.192	  0.071	  0.031	  0.005
       0:00.302	 -0.011	  0.137	  0.191	  0.076	  0.041	  0.013
       0:00.303	 -0.017	  0.124	  0.187	  0.080	  0.053	  0.025
       0:00.304	 -0.024	  0.110	  0.179	  0.081	  0.066	  0.040
       0:00.305	 -0.027	  0.092	  0.166	  0.080	  0.079	  0.055
       0:00.306	 -0.034	  0.072	  0.149	  0.075	  0.088	  0.066
       0:00.307	 -0.041	  0.056	  0.131	  0.066	  0.092	  0.073
       0:00.308	 -0.049	  0.042	  0.115	  0.056	  0.092	  0.074
       0:00.309	 -0.056	  0.036	  0.102	  0.046	  0.088	  0.071
       0:00.310	 -0.059	  0.035	  0.095	  0.038	  0.080	  0.062
       0:00.311	 -0.059	  0.040	  0.093	  0.032	  0.069	  0.051
       0:00.312	 -0.062	  0.048	  0.093	  0.026	  0.056	  0.036
       0:00.313	 -0.067	  0.058	  0.096	  0.022	  0.041	  0.021
       0:00.314	 -0.072	  0.069	  0.102	  0.020	  0.028	  0.006
       0:00.315	 -0.075	  0.082	  0.109	  0.021	  0.017	 -0.007
       0:00.316	 -0.075	  0.095	  0.117	  0.022	  0.009	 -0.017
       0:00.317	 -0.074	  0.103	  0.123	  0.025	  0.004	 -0.024
       0:00.318	 -0.080	  0.107	  0.128	  0.027	  0.001	 -0.028
       0:00.319	 -0.085	  0.106	  0.130	  0.030	  0.001	 -0.028
       0:00.320	 -0.086	  0.101	  0.131	  0.031	  0.001	 -0.028
       0:00.321	 -0.085	  0.092	  0.130	  0.032	  0.003	 -0.024
       0:00.322	 -0.087	  0.085	  0.130	  0.035	  0.008	 -0.019
       0:00.323	 -0.091	  0.078	  0.132	  0.040	  0.016	 -0.010
       0:00.324	 -0.089	  0.072	  0.135	  0.045	  0.024	  0.000
       0:00.325	 -0.089	  0.069	  0.138	  0.051	  0.033	  0.011
       0:00.326	 -0.091	  0.066	  0.141	  0.055	  0.041	  0.021
       0:00.327	 -0.093	  0.065	  0.142	  0.058	  0.047	  0.029
       0:00.328	 -0.095	  0.065	  0.143	  0.060	  0.052	  0.034
       0:00.329	 -0.099	  0.068	  0.143	  0.060	  0.054	  0.035
       0:00.330	 -0.101	  0.073	  0.142	  0.060	  0.054	  0.034
       0:00.331	 -0.101	  0.078	  0.142	  0.058	  0.052	  0.030
       0:00.332	 -0.101	  0.084	  0.141	  0.056	  0.047	  0.023
       0:00.333	 -0.100	  0.089	  0.139	  0.051	  0.041	  0.014
       0:00.334	 -0.101	  0.095	  0.137	  0.048	  0.033	  0.005
       0:00.335	 -0.105	  0.101	  0.136	  0.046	  0.026	 -0.003
       0:00.336	 -0.105	  0.108	  0.136	  0.045	  0.020	 -0.011
       0:00.337	 -0.105	  0.114	  0.136	  0.045	  0.016	 -0.016
       0:00.338	 -0.105	  0.117	  0.137	  0.045	  0.012	 -0.019
       0:00.339	 -0.105	  0.118	  0.138	  0.045	  0.011	 -0.021
       0:00.340	 -0.108	  0.113	  0.138	  0.045	  0.010	 -0.022
       0:00.341	 -0.107	  0.107	  0.139	  0.045	  0.011	 -0.020
       0:00.342	 -0.108	  0.100	  0.139	  0.047	  0.015	 -0.016
       0:00.343	 -0.109	  0.093	  0.141	  0.049	  0.021	 -0.010
       0:00.344	 -0.108	  0.088	  0.141	  0.054	  0.028	 -0.001
       0:00.345	 -0.105	  0.082	  0.141	  0.059	  0.033	  0.007
       0:00.346	 -0.109	  0.076	  0.141	  0.064	  0.037	  0.015
       0:00.347	 -0.112	  0.072	  0.139	  0.067	  0.040	  0.019
       0:00.348	 -0.110	  0.070	  0.138	  0.069	  0.041	  0.023
       0:00.349	 -0.110	  0.070	  0.135	  0.071	  0.040	  0.023
       0:00.350	 -0.114	  0.071	  0.132	  0.070	  0.038	  0.022
       0:00.351	 -0.120	  0.074	  0.130	  0.066	  0.033	  0.018
       0:00.352	 -0.127	  0.075	  0.124	  0.061	  0.026	  0.011
       0:00.353	 -0.130	  0.076	  0.117	  0.052	  0.015	 -0.001
       0:00.354	 -0.132	  0.075	  0.109	  0.043	  0.001	 -0.015
       0:00.355	 -0.135	  0.076	  0.102	  0.035	 -0.012	 -0.030
       0:00.356	 -0.134	  0.078	  0.099	  0.028	 -0.022	 -0.042
       0:00.357	 -0.134	  0.081	  0.098	  0.023	 -0.030	 -0.051
       0:00.358	 -0.137	  0.082	  0.098	  0.021	 -0.033	 -0.055
       0:00.359	 -0.139	  0.082	  0.101	  0.022	 -0.031	 -0.056
       0:00.360	 -0.136	  0.081	  0.103	  0.024	 -0.026	 -0.052
       0:00.361	 -0.133	  0.078	  0.106	  0.028	 -0.021	 -0.046
       0:00.362	 -0.130	  0.076	  0.109	  0.032	 -0.013	 -0.037
       0:00.363	 -0.133	  0.072	  0.113	  0.038	 -0.004	 -0.026
       0:00.364	 -0.135	  0.069	  0.115	  0.043	  0.006	 -0.014
       0:00.365	 -0.130	  0.065	  0.116	  0.049	  0.016	 -0.002
