   Elapsed time	   ECG1	   ECG2
       0:00.436	  0.705	  0.115
       0:00.440	 -1.385	  0.000
       0:00.444	 -0.990	 -0.175
       0:00.448	  1.050	 -0.115
       0:00.452	  0.840	 -0.095
       0:00.456	 -1.290	 -0.240
       0:00.460	 -1.420	 -0.350
       0:00.464	  0.670	 -0.310
       0:00.468	  0.880	 -0.160
       0:00.472	 -1.200	 -0.155
       0:00.476	 -1.500	 -0.285
       0:00.480	  0.530	 -0.270
       0:00.484	  0.845	 -0.155
       0:00.488	 -1.225	 -0.140
       0:00.492	 -1.655	 -0.250
       0:00.496	  0.350	 -0.255
       0:00.500	  0.820	 -0.180
       0:00.504	 -1.185	 -0.175
       0:00.508	 -1.710	 -0.320
       0:00.512	  0.330	 -0.300
       0:00.516	  0.875	 -0.190
       0:00.520	 -1.090	 -0.175
       0:00.524	 -1.690	 -0.310
       0:00.528	  0.280	 -0.305
       0:00.532	  0.885	 -0.185
       0:00.536	 -1.045	 -0.225
       0:00.540	 -1.750	 -0.295
       0:00.544	  0.175	 -0.280
       0:00.548	  1.020	 -0.135
       0:00.552	 -0.870	  0.050
       0:00.556	 -1.855	  0.135
       0:00.560	  0.040	  0.225
       0:00.564	  1.590	  0.315
       0:00.568	  0.375	  0.380
       0:00.572	 -0.855	  0.540
       0:00.576	  0.720	  0.110
       0:00.580	  2.395	 -0.585
       0:00.584	  1.375	 -1.195
       0:00.588	 -0.930	 -1.590
       0:00.592	 -0.605	 -1.960
       0:00.596	  0.845	 -2.170
       0:00.600	 -0.265	 -2.265
       0:00.604	 -2.320	 -2.665
       0:00.608	 -1.430	 -2.605
       0:00.612	  0.730	 -1.840
       0:00.616	  0.275	 -1.150
       0:00.620	 -1.625	 -0.735
       0:00.624	 -1.000	 -0.445
       0:00.628	  0.925	 -0.120
       0:00.632	  0.315	  0.035
       0:00.636	 -1.645	 -0.045
       0:00.640	 -1.105	 -0.110
       0:00.644	  0.885	 -0.050
       0:00.648	  0.415	  0.015
       0:00.652	 -1.620	 -0.025
       0:00.656	 -1.345	 -0.130
       0:00.660	  0.760	 -0.045
       0:00.664	  0.755	  0.035
       0:00.668	 -1.355	 -0.010
       0:00.672	 -1.610	 -0.095
       0:00.676	  0.435	 -0.060
       0:00.680	  1.020	  0.045
       0:00.684	 -0.930	  0.050
       0:00.688	 -1.895	 -0.105
       0:00.692	 -0.115	 -0.055
       0:00.696	  1.180	  0.065
       0:00.700	 -0.370	  0.090
       0:00.704	 -1.910	 -0.020
       0:00.708	 -0.550	 -0.015
       0:00.712	  1.105	  0.060
       0:00.716	  0.070	  0.120
       0:00.720	 -1.770	  0.050
       0:00.724	 -0.775	 -0.020
       0:00.728	  1.090	  0.130
       0:00.732	  0.375	  0.200
       0:00.736	 -1.620	  0.125
       0:00.740	 -0.960	  0.025
       0:00.744	  1.005	  0.145
       0:00.748	  0.520	  0.235
       0:00.752	 -1.500	  0.240
       0:00.756	 -1.005	  0.145
       0:00.760	  1.025	  0.220
       0:00.764	  0.725	  0.370
       0:00.768	 -1.360	  0.340
       0:00.772	 -1.195	  0.285
       0:00.776	  0.940	  0.340
       0:00.780	  1.060	  0.460
       0:00.784	 -1.000	  0.440
       0:00.788	 -1.275	  0.395
       0:00.792	  0.745	  0.440
       0:00.796	  1.290	  0.555
       0:00.800	 -0.665	  0.535
       0:00.804	 -1.435	  0.460
       0:00.808	  0.465	  0.515
       0:00.812	  1.475	  0.610
       0:00.816	 -0.315	  0.620
       0:00.820	 -1.530	  0.525
       0:00.824	  0.085	  0.520
       0:00.828	  1.495	  0.605
       0:00.832	  0.020	  0.620
       0:00.836	 -1.570	  0.510
       0:00.840	 -0.300	  0.435
       0:00.844	  1.350	  0.500
       0:00.848	  0.240	  0.530
       0:00.852	 -1.590	  0.365
       0:00.856	 -0.590	  0.265
       0:00.860	  1.165	  0.310
       0:00.864	  0.145	  0.345
       0:00.868	 -1.720	  0.205
       0:00.872	 -0.865	  0.080
       0:00.876	  1.030	  0.095
       0:00.880	  0.270	  0.135
       0:00.884	 -1.695	  0.035
       0:00.888	 -1.020	 -0.065
       0:00.892	  0.990	 -0.025
       0:00.896	  0.505	  0.035
       0:00.900	 -1.550	 -0.070
       0:00.904	 -1.265	 -0.165
       0:00.908	  0.810	 -0.135
       0:00.912	  0.650	 -0.035
       0:00.916	 -1.435	 -0.110
       0:00.920	 -1.420	 -0.200
       0:00.924	  0.675	 -0.170
       0:00.928	  0.850	 -0.040
       0:00.932	 -1.250	 -0.085
       0:00.936	 -1.650	 -0.235
       0:00.940	  0.420	 -0.185
       0:00.944	  1.075	 -0.080
       0:00.948	 -0.885	 -0.050
       0:00.952	 -1.885	 -0.215
       0:00.956	 -0.050	 -0.180
       0:00.960	  1.215	 -0.080
       0:00.964	 -0.345	 -0.045
       0:00.968	 -1.830	 -0.170
       0:00.972	 -0.290	 -0.200
       0:00.976	  1.210	 -0.070
       0:00.980	 -0.150	 -0.025
       0:00.984	 -1.865	 -0.125
       0:00.988	 -0.710	 -0.200
       0:00.992	  1.115	 -0.115
       0:00.996	  0.265	 -0.025
       0:01.000	 -1.675	 -0.100
       0:01.004	 -1.025	 -0.200
       0:01.008	  1.020	 -0.130
       0:01.012	  0.680	 -0.040
       0:01.016	 -1.410	 -0.090
       0:01.020	 -1.415	 -0.215
       0:01.024	  0.680	 -0.160
       0:01.028	  0.805	 -0.030
       0:01.032	 -1.240	 -0.065
       0:01.036	 -1.605	 -0.180
       0:01.040	  0.405	 -0.185
       0:01.044	  0.960	 -0.065
       0:01.048	 -0.990	 -0.065
       0:01.052	 -1.735	 -0.215
       0:01.056	  0.145	 -0.160
       0:01.060	  1.140	 -0.065
       0:01.064	 -0.635	 -0.065
       0:01.068	 -1.890	 -0.200
       0:01.072	 -0.250	 -0.215
       0:01.076	  1.200	 -0.120
       0:01.080	 -0.120	 -0.075
       0:01.084	 -1.835	 -0.150
       0:01.088	 -0.710	 -0.240
       0:01.092	  1.125	 -0.140
       0:01.096	  0.295	 -0.060
       0:01.100	 -1.685	 -0.140
       0:01.104	 -1.180	 -0.235
       0:01.108	  0.855	 -0.175
       0:01.112	  0.645	 -0.070
       0:01.116	 -1.440	 -0.120
       0:01.120	 -1.475	 -0.210
       0:01.124	  0.630	 -0.195
       0:01.128	  1.010	 -0.065
       0:01.132	 -1.015	 -0.070
       0:01.136	 -1.580	 -0.180
       0:01.140	  0.370	 -0.205
       0:01.144	  0.985	 -0.050
       0:01.148	 -0.970	 -0.060
       0:01.152	 -1.700	 -0.195
       0:01.156	  0.195	 -0.195
       0:01.160	  1.020	 -0.060
       0:01.164	 -0.805	 -0.085
       0:01.168	 -1.710	 -0.190
       0:01.172	  0.170	 -0.165
       0:01.176	  1.190	 -0.060
       0:01.180	 -0.565	 -0.070
       0:01.184	 -1.675	 -0.160
       0:01.188	  0.065	 -0.170
       0:01.192	  1.285	 -0.015
       0:01.196	 -0.320	  0.070
       0:01.200	 -1.700	 -0.025
       0:01.204	 -0.245	 -0.020
       0:01.208	  1.360	  0.100
       0:01.212	  0.205	  0.215
       0:01.216	 -1.590	  0.055
       0:01.220	 -0.670	 -0.050
       0:01.224	  1.220	 -0.035
       0:01.228	  0.550	 -0.005
       0:01.232	 -1.520	 -0.125
       0:01.236	 -1.190	 -0.300
       0:01.240	  0.890	 -0.305
       0:01.244	  0.860	 -0.190
       0:01.248	 -1.230	 -0.210
       0:01.252	 -1.395	 -0.295
       0:01.256	  0.655	 -0.275
       0:01.260	  0.905	 -0.160
       0:01.264	 -1.210	 -0.185
       0:01.268	 -1.635	 -0.260
       0:01.272	  0.390	 -0.235
       0:01.276	  0.785	 -0.145
       0:01.280	 -1.220	 -0.165
       0:01.284	 -1.595	 -0.290
       0:01.288	  0.460	 -0.245
       0:01.292	  0.950	 -0.140
       0:01.296	 -1.055	 -0.180
       0:01.300	 -1.645	 -0.295
       0:01.304	  0.315	 -0.285
       0:01.308	  0.945	 -0.165
       0:01.312	 -0.985	 -0.200
       0:01.316	 -1.720	 -0.300
       0:01.320	  0.215	 -0.270
       0:01.324	  1.095	 -0.160
       0:01.328	 -0.770	 -0.130
       0:01.332	 -1.920	 -0.175
       0:01.336	 -0.255	  0.020
       0:01.340	  1.185	  0.355
       0:01.344	 -0.135	  0.400
       0:01.348	 -1.445	  0.220
       0:01.352	  0.125	  0.360
       0:01.356	  2.145	  0.570
       0:01.360	  1.605	  0.000
       0:01.364	 -0.050	 -0.845
       0:01.368	  0.665	 -1.455
       0:01.372	  1.805	 -1.700
       0:01.376	  0.360	 -1.970
       0:01.380	 -1.945	 -2.445
       0:01.384	 -1.585	 -2.630
       0:01.388	  0.550	 -2.480
       0:01.392	 -0.055	 -2.105
       0:01.396	 -1.940	 -1.675
       0:01.400	 -1.005	 -1.045
       0:01.404	  1.040	 -0.495
       0:01.408	  0.330	 -0.135
       0:01.412	 -1.625	 -0.065
       0:01.416	 -0.960	 -0.100
       0:01.420	  0.940	 -0.005
       0:01.424	  0.250	  0.050
       0:01.428	 -1.700	 -0.030
       0:01.432	 -1.155	 -0.090
       0:01.436	  0.885	 -0.045
       0:01.440	  0.490	  0.055
       0:01.444	 -1.530	 -0.010
       0:01.448	 -1.235	 -0.095
       0:01.452	  0.825	 -0.035
       0:01.456	  0.820	  0.080
       0:01.460	 -1.295	  0.040
       0:01.464	 -1.615	 -0.100
       0:01.468	  0.420	  0.005
       0:01.472	  1.030	  0.105
       0:01.476	 -0.920	  0.085
       0:01.480	 -1.705	 -0.025
       0:01.484	  0.220	 -0.020
       0:01.488	  1.155	  0.090
       0:01.492	 -0.635	  0.145
       0:01.496	 -1.790	  0.000
       0:01.500	 -0.100	 -0.005
       0:01.504	  1.120	  0.105
       0:01.508	 -0.490	  0.155
       0:01.512	 -1.760	  0.055
       0:01.516	 -0.160	  0.070
       0:01.520	  1.250	  0.185
       0:01.524	 -0.155	  0.205
       0:01.528	 -1.555	  0.145
       0:01.532	 -0.110	  0.130
       0:01.536	  1.265	  0.275
       0:01.540	 -0.180	  0.315
       0:01.544	 -1.645	  0.230
       0:01.548	 -0.215	  0.190
       0:01.552	  1.315	  0.350
       0:01.556	  0.005	  0.415
       0:01.560	 -1.555	  0.340
       0:01.564	 -0.250	  0.355
       0:01.568	  1.425	  0.495
       0:01.572	  0.320	  0.545
       0:01.576	 -1.430	  0.435
       0:01.580	 -0.330	  0.425
       0:01.584	  1.425	  0.535
       0:01.588	  0.525	  0.605
       0:01.592	 -1.360	  0.510
       0:01.596	 -0.540	  0.430
       0:01.600	  1.380	  0.505
       0:01.604	  0.765	  0.590
       0:01.608	 -1.315	  0.550
       0:01.612	 -0.875	  0.440
       0:01.616	  1.130	  0.460
       0:01.620	  0.855	  0.530
       0:01.624	 -1.255	  0.450
       0:01.628	 -1.275	  0.300
       0:01.632	  0.790	  0.300
       0:01.636	  1.035	  0.395
       0:01.640	 -1.030	  0.335
       0:01.644	 -1.415	  0.140
       0:01.648	  0.570	  0.115
       0:01.652	  0.995	  0.175
       0:01.656	 -1.045	  0.105
       0:01.660	 -1.650	 -0.030
       0:01.664	  0.280	 -0.060
       0:01.668	  0.935	 -0.005
       0:01.672	 -0.950	 -0.020
       0:01.676	 -1.675	 -0.170
       0:01.680	  0.230	 -0.170
       0:01.684	  1.035	 -0.070
       0:01.688	 -0.830	 -0.105
       0:01.692	 -1.745	 -0.240
       0:01.696	  0.130	 -0.225
       0:01.700	  1.065	 -0.125
       0:01.704	 -0.740	 -0.105
       0:01.708	 -1.765	 -0.255
       0:01.712	  0.015	 -0.235
       0:01.716	  1.190	 -0.165
       0:01.720	 -0.465	 -0.115
       0:01.724	 -1.840	 -0.240
       0:01.728	 -0.365	 -0.250
       0:01.732	  1.185	 -0.145
       0:01.736	 -0.070	 -0.065
       0:01.740	 -1.765	 -0.145
       0:01.744	 -0.700	 -0.225
       0:01.748	  1.250	 -0.110
       0:01.752	  0.580	 -0.040
       0:01.756	 -1.455	 -0.055
       0:01.760	 -0.945	  0.045
       0:01.764	  1.025	  0.390
       0:01.768	  0.735	  0.605
       0:01.772	 -1.395	  0.630
       0:01.776	 -1.470	  0.140
       0:01.780	  0.390	 -0.585
       0:01.784	  0.265	 -1.645
       0:01.788	 -1.865	 -2.920
       0:01.792	 -2.195	 -3.455
       0:01.796	  0.005	 -3.820
       0:01.800	  0.565	 -4.275
       0:01.804	 -1.305	 -4.920
       0:01.808	 -1.570	 -5.110
       0:01.812	  0.680	 -4.755
       0:01.816	  1.030	 -4.285
       0:01.820	 -1.010	 -3.785
       0:01.824	 -1.725	 -3.225
       0:01.828	  0.220	 -2.520
       0:01.832	  0.560	 -2.110
       0:01.836	 -1.515	 -2.115
       0:01.840	 -2.220	 -2.110
       0:01.844	 -0.070	 -1.685
       0:01.848	  0.685	 -1.365
       0:01.852	 -1.155	 -1.140
       0:01.856	 -2.000	 -1.075
       0:01.860	 -0.030	 -0.765
       0:01.864	  1.115	 -0.475
       0:01.868	 -0.525	 -0.255
       0:01.872	 -1.690	 -0.130
       0:01.876	  0.015	  0.050
       0:01.880	  1.330	  0.265
       0:01.884	 -0.155	  0.355
       0:01.888	 -1.715	  0.315
       0:01.892	 -0.375	  0.345
       0:01.896	  1.245	  0.475
       0:01.900	  0.060	  0.540
       0:01.904	 -1.650	  0.450
       0:01.908	 -0.520	  0.435
       0:01.912	  1.185	  0.535
       0:01.916	  0.130	  0.605
       0:01.920	 -1.545	  0.560
       0:01.924	 -0.300	  0.545
       0:01.928	  1.330	  0.650
       0:01.932	  0.075	  0.740
       0:01.936	 -1.525	  0.665
       0:01.940	 -0.220	  0.685
       0:01.944	  1.350	  0.815
       0:01.948	  0.090	  0.920
       0:01.952	 -1.455	  0.865
       0:01.956	 -0.150	  0.850
       0:01.960	  1.530	  0.990
       0:01.964	  0.385	  1.175
       0:01.968	 -1.260	  1.170
       0:01.972	 -0.100	  1.230
       0:01.976	  1.660	  1.405
       0:01.980	  0.665	  1.560
       0:01.984	 -1.050	  1.565
       0:01.988	 -0.065	  1.535
       0:01.992	  1.815	  1.645
       0:01.996	  1.120	  1.785
       0:02.000	 -0.895	  1.750
       0:02.004	 -0.390	  1.635
       0:02.008	  1.605	  1.705
       0:02.012	  1.220	  1.795
       0:02.016	 -0.815	  1.810
       0:02.020	 -0.630	  1.740
       0:02.024	  1.360	  1.795
       0:02.028	  1.265	  1.870
       0:02.032	 -0.860	  1.745
       0:02.036	 -0.765	  1.550
       0:02.040	  1.170	  1.540
       0:02.044	  0.980	  1.530
       0:02.048	 -1.115	  1.360
       0:02.052	 -1.085	  1.120
       0:02.056	  0.935	  1.025
       0:02.060	  0.830	  1.020
       0:02.064	 -1.230	  0.830
       0:02.068	 -1.245	  0.630
       0:02.072	  0.775	  0.575
       0:02.076	  0.780	  0.565
       0:02.080	 -1.280	  0.425
       0:02.084	 -1.450	  0.250
       0:02.088	  0.570	  0.225
       0:02.092	  0.820	  0.255
       0:02.096	 -1.205	  0.160
       0:02.100	 -1.675	  0.015
       0:02.104	  0.020	  0.005
       0:02.108	  0.255	  0.020
       0:02.112	 -0.495	 -0.025
       0:02.116	 -0.640	  0.010
       0:02.120	 -0.055	 -0.045
       0:02.124	  0.095	 -0.140
       0:02.128	 -0.545	 -0.140
       0:02.132	 -0.785	 -0.060
       0:02.136	 -0.200	 -0.110
       0:02.140	  0.120	 -0.180
       0:02.144	 -0.420	 -0.225
       0:02.148	 -0.770	 -0.150
       0:02.152	 -0.250	 -0.135
       0:02.156	  0.135	 -0.205
       0:02.160	 -0.345	 -0.255
       0:02.164	 -0.780	 -0.160
       0:02.168	 -0.355	 -0.195
       0:02.172	  0.090	 -0.230
       0:02.176	 -0.315	 -0.250
       0:02.180	 -0.765	 -0.190
       0:02.184	 -0.370	 -0.185
       0:02.188	  0.110	 -0.250
       0:02.192	 -0.280	 -0.255
       0:02.196	 -0.770	 -0.220
       0:02.200	 -0.435	 -0.150
       0:02.204	  0.115	 -0.210
       0:02.208	 -0.200	 -0.260
       0:02.212	 -0.775	 -0.215
       0:02.216	 -0.505	 -0.150
       0:02.220	  0.095	 -0.195
       0:02.224	 -0.115	 -0.260
       0:02.228	 -0.740	 -0.220
       0:02.232	 -0.570	 -0.185
       0:02.236	  0.060	 -0.205
       0:02.240	 -0.010	 -0.255
       0:02.244	 -0.690	 -0.230
       0:02.248	 -0.670	 -0.160
       0:02.252	 -0.035	 -0.185
       0:02.256	  0.065	 -0.240
       0:02.260	 -0.585	 -0.225
       0:02.264	 -0.730	 -0.185
       0:02.268	 -0.135	 -0.175
       0:02.272	  0.115	 -0.270
       0:02.276	 -0.425	 -0.240
       0:02.280	 -0.770	 -0.180
       0:02.284	 -0.230	 -0.180
       0:02.288	  0.140	 -0.225
       0:02.292	 -0.310	 -0.260
       0:02.296	 -0.720	 -0.180
       0:02.300	 -0.295	 -0.165
       0:02.304	  0.140	 -0.230
       0:02.308	 -0.235	 -0.255
       0:02.312	 -0.715	 -0.215
       0:02.316	 -0.295	 -0.180
       0:02.320	  0.135	 -0.255
       0:02.324	 -0.260	 -0.280
       0:02.328	 -0.720	 -0.235
       0:02.332	 -0.265	 -0.170
       0:02.336	  0.190	 -0.270
       0:02.340	 -0.265	 -0.270
       0:02.344	 -0.750	 -0.235
       0:02.348	 -0.325	 -0.180
       0:02.352	  0.100	 -0.255
       0:02.356	 -0.245	 -0.305
       0:02.360	 -0.770	 -0.250
       0:02.364	 -0.335	 -0.200
       0:02.368	  0.160	 -0.280
       0:02.372	 -0.225	 -0.310
       0:02.376	 -0.740	 -0.225
       0:02.380	 -0.420	 -0.205
       0:02.384	  0.160	 -0.290
       0:02.388	 -0.040	 -0.325
       0:02.392	 -0.705	 -0.255
       0:02.396	 -0.565	 -0.220
       0:02.400	  0.100	 -0.250
       0:02.404	  0.055	 -0.325
       0:02.408	 -0.580	 -0.270
       0:02.412	 -0.620	 -0.210
       0:02.416	  0.025	 -0.250
       0:02.420	  0.100	 -0.340
       0:02.424	 -0.510	 -0.340
       0:02.428	 -0.675	 -0.200
       0:02.432	 -0.075	 -0.215
       0:02.436	  0.105	 -0.315
       0:02.440	 -0.495	 -0.315
       0:02.444	 -0.685	 -0.225
       0:02.448	 -0.110	 -0.220
       0:02.452	  0.080	 -0.290
       0:02.456	 -0.510	 -0.305
       0:02.460	 -0.680	 -0.255
       0:02.464	 -0.070	 -0.245
       0:02.468	  0.140	 -0.285
       0:02.472	 -0.480	 -0.300
       0:02.476	 -0.635	 -0.250
       0:02.480	 -0.020	 -0.260
       0:02.484	  0.135	 -0.325
       0:02.488	 -0.490	 -0.290
       0:02.492	 -0.685	 -0.245
       0:02.496	 -0.060	 -0.245
       0:02.500	  0.180	 -0.300
       0:02.504	 -0.420	 -0.290
       0:02.508	 -0.700	 -0.245
       0:02.512	 -0.170	 -0.240
       0:02.516	  0.195	 -0.285
       0:02.520	 -0.255	 -0.290
       0:02.524	 -0.705	 -0.255
       0:02.528	 -0.300	 -0.195
       0:02.532	  0.175	 -0.270
       0:02.536	 -0.155	 -0.335
       0:02.540	 -0.710	 -0.270
       0:02.544	 -0.430	 -0.260
       0:02.548	  0.155	 -0.300
       0:02.552	 -0.060	 -0.300
       0:02.556	 -0.685	 -0.275
       0:02.560	 -0.475	 -0.205
       0:02.564	  0.115	 -0.270
       0:02.568	 -0.105	 -0.295
       0:02.572	 -0.685	 -0.270
       0:02.576	 -0.510	 -0.225
       0:02.580	  0.125	 -0.245
       0:02.584	 -0.060	 -0.325
       0:02.588	 -0.635	 -0.260
       0:02.592	 -0.495	 -0.220
       0:02.596	  0.100	 -0.250
       0:02.600	 -0.030	 -0.340
       0:02.604	 -0.630	 -0.295
       0:02.608	 -0.560	 -0.255
       0:02.612	  0.050	 -0.285
       0:02.616	  0.030	 -0.340
       0:02.620	 -0.600	 -0.320
       0:02.624	 -0.650	 -0.270
       0:02.628	 -0.045	 -0.240
       0:02.632	  0.160	 -0.345
       0:02.636	 -0.440	 -0.325
       0:02.640	 -0.735	 -0.270
       0:02.644	 -0.185	 -0.240
       0:02.648	  0.180	 -0.310
       0:02.652	 -0.345	 -0.360
       0:02.656	 -0.755	 -0.270
       0:02.660	 -0.330	 -0.240
       0:02.664	  0.150	 -0.310
       0:02.668	 -0.235	 -0.350
       0:02.672	 -0.750	 -0.320
       0:02.676	 -0.415	 -0.255
       0:02.680	  0.160	 -0.305
       0:02.684	 -0.120	 -0.350
       0:02.688	 -0.680	 -0.300
       0:02.692	 -0.455	 -0.225
       0:02.696	  0.135	 -0.290
       0:02.700	 -0.075	 -0.345
       0:02.704	 -0.665	 -0.310
       0:02.708	 -0.500	 -0.200
       0:02.712	  0.125	 -0.245
       0:02.716	 -0.040	 -0.290
       0:02.720	 -0.640	 -0.255
       0:02.724	 -0.465	 -0.215
       0:02.728	  0.160	 -0.205
       0:02.732	  0.065	 -0.215
       0:02.736	 -0.550	 -0.145
       0:02.740	 -0.475	 -0.105
       0:02.744	  0.125	 -0.080
       0:02.748	  0.235	 -0.125
       0:02.752	 -0.410	 -0.100
       0:02.756	 -0.475	 -0.105
       0:02.760	  0.160	 -0.170
       0:02.764	  0.250	 -0.260
       0:02.768	 -0.430	 -0.295
       0:02.772	 -0.620	 -0.300
       0:02.776	 -0.035	 -0.395
       0:02.780	  0.200	 -0.455
       0:02.784	 -0.370	 -0.435
       0:02.788	 -0.690	 -0.330
       0:02.792	 -0.185	 -0.345
       0:02.796	  0.150	 -0.380
       0:02.800	 -0.375	 -0.420
       0:02.804	 -0.785	 -0.305
       0:02.808	 -0.345	 -0.265
       0:02.812	  0.060	 -0.370
       0:02.816	 -0.380	 -0.420
       0:02.820	 -0.830	 -0.385
       0:02.824	 -0.385	 -0.325
       0:02.828	  0.090	 -0.410
       0:02.832	 -0.320	 -0.440
       0:02.836	 -0.790	 -0.390
       0:02.840	 -0.415	 -0.345
       0:02.844	  0.110	 -0.430
       0:02.848	 -0.275	 -0.425
       0:02.852	 -0.820	 -0.405
       0:02.856	 -0.500	 -0.345
       0:02.860	  0.010	 -0.375
       0:02.864	 -0.385	 -0.315
       0:02.868	 -0.885	 -0.045
       0:02.872	 -0.350	  0.190
       0:02.876	  0.395	  0.150
       0:02.880	  0.455	  0.060
       0:02.884	  0.265	  0.340
       0:02.888	  0.860	  0.485
       0:02.892	  1.715	 -0.190
       0:02.896	  1.525	 -0.975
       0:02.900	  0.300	 -1.310
       0:02.904	 -0.325	 -1.490
       0:02.908	 -0.125	 -1.820
       0:02.912	 -0.470	 -2.030
       0:02.916	 -1.280	 -2.390
       0:02.920	 -1.255	 -2.445
       0:02.924	 -0.380	 -2.065
       0:02.928	 -0.140	 -1.635
       0:02.932	 -0.640	 -1.220
       0:02.936	 -0.715	 -0.735
       0:02.940	 -0.135	 -0.365
       0:02.944	  0.060	 -0.265
       0:02.948	 -0.535	 -0.240
       0:02.952	 -0.820	 -0.180
       0:02.956	 -0.240	 -0.160
       0:02.960	  0.070	 -0.220
       0:02.964	 -0.490	 -0.235
       0:02.968	 -0.790	 -0.160
       0:02.972	 -0.260	 -0.155
       0:02.976	  0.040	 -0.220
       0:02.980	 -0.510	 -0.205
       0:02.984	 -0.790	 -0.160
       0:02.988	 -0.245	 -0.150
       0:02.992	  0.090	 -0.180
       0:02.996	 -0.430	 -0.195
       0:03.000	 -0.780	 -0.140
       0:03.004	 -0.270	 -0.110
       0:03.008	  0.110	 -0.180
       0:03.012	 -0.395	 -0.190
       0:03.016	 -0.825	 -0.130
       0:03.020	 -0.335	 -0.045
       0:03.024	  0.145	 -0.155
       0:03.028	 -0.235	 -0.165
       0:03.032	 -0.770	 -0.070
       0:03.036	 -0.415	 -0.035
       0:03.040	  0.150	 -0.105
