   Elapsed time	     V5	     V2
       0:00.358	  0.345	 -1.345
       0:00.361	  0.330	 -1.455
       0:00.364	  0.320	 -1.605
       0:00.367	  0.340	 -1.755
       0:00.369	  0.380	 -1.930
       0:00.372	  0.400	 -2.100
       0:00.375	  0.410	 -2.235
       0:00.378	  0.395	 -2.360
       0:00.381	  0.365	 -2.490
       0:00.383	  0.335	 -2.595
       0:00.386	  0.310	 -2.700
       0:00.389	  0.260	 -2.790
       0:00.392	  0.195	 -2.860
       0:00.394	  0.125	 -2.930
       0:00.397	  0.050	 -3.005
       0:00.400	 -0.035	 -3.045
       0:00.403	 -0.130	 -3.065
       0:00.406	 -0.250	 -3.095
       0:00.408	 -0.355	 -3.130
       0:00.411	 -0.420	 -3.155
       0:00.414	 -0.435	 -3.155
       0:00.417	 -0.395	 -3.145
       0:00.419	 -0.380	 -3.095
       0:00.422	 -0.390	 -3.030
       0:00.425	 -0.405	 -2.955
       0:00.428	 -0.440	 -2.825
       0:00.431	 -0.465	 -2.690
       0:00.433	 -0.470	 -2.525
       0:00.436	 -0.460	 -2.345
       0:00.439	 -0.435	 -2.150
       0:00.442	 -0.420	 -1.940
       0:00.444	 -0.405	 -1.710
       0:00.447	 -0.380	 -1.475
       0:00.450	 -0.340	 -1.240
       0:00.453	 -0.310	 -0.995
       0:00.456	 -0.295	 -0.800
       0:00.458	 -0.305	 -0.610
       0:00.461	 -0.310	 -0.445
       0:00.464	 -0.320	 -0.280
       0:00.467	 -0.320	 -0.085
       0:00.469	 -0.310	  0.065
       0:00.472	 -0.310	  0.220
       0:00.475	 -0.305	  0.350
       0:00.478	 -0.290	  0.460
       0:00.481	 -0.290	  0.555
       0:00.483	 -0.265	  0.635
       0:00.486	 -0.260	  0.690
       0:00.489	 -0.240	  0.740
       0:00.492	 -0.245	  0.775
       0:00.494	 -0.240	  0.825
       0:00.497	 -0.235	  0.850
       0:00.500	 -0.215	  0.905
       0:00.503	 -0.200	  0.945
       0:00.506	 -0.195	  0.970
       0:00.508	 -0.205	  1.005
       0:00.511	 -0.215	  1.045
       0:00.514	 -0.200	  1.070
       0:00.517	 -0.200	  1.125
       0:00.519	 -0.190	  1.170
       0:00.522	 -0.190	  1.195
       0:00.525	 -0.190	  1.235
       0:00.528	 -0.185	  1.250
       0:00.531	 -0.195	  1.305
       0:00.533	 -0.185	  1.355
       0:00.536	 -0.175	  1.400
       0:00.539	 -0.165	  1.435
       0:00.542	 -0.170	  1.465
       0:00.544	 -0.170	  1.505
       0:00.547	 -0.160	  1.550
       0:00.550	 -0.150	  1.605
       0:00.553	 -0.140	  1.650
       0:00.556	 -0.135	  1.680
       0:00.558	 -0.135	  1.710
       0:00.561	 -0.150	  1.730
       0:00.564	 -0.150	  1.780
       0:00.567	 -0.140	  1.830
       0:00.569	 -0.130	  1.865
       0:00.572	 -0.120	  1.890
       0:00.575	 -0.120	  1.900
       0:00.578	 -0.115	  1.920
       0:00.581	 -0.115	  1.930
       0:00.583	 -0.100	  1.950
       0:00.586	 -0.090	  1.975
       0:00.589	 -0.085	  1.955
       0:00.592	 -0.080	  1.960
       0:00.594	 -0.090	  1.955
       0:00.597	 -0.090	  1.940
       0:00.600	 -0.080	  1.945
       0:00.603	 -0.060	  1.925
       0:00.606	 -0.060	  1.895
       0:00.608	 -0.050	  1.855
       0:00.611	 -0.045	  1.820
       0:00.614	 -0.070	  1.780
       0:00.617	 -0.055	  1.760
       0:00.619	 -0.055	  1.715
       0:00.622	 -0.040	  1.655
       0:00.625	 -0.040	  1.605
       0:00.628	 -0.045	  1.535
       0:00.631	 -0.050	  1.470
       0:00.633	 -0.050	  1.430
       0:00.636	 -0.050	  1.360
       0:00.639	 -0.050	  1.300
       0:00.642	 -0.050	  1.235
       0:00.644	 -0.050	  1.155
       0:00.647	 -0.065	  1.085
       0:00.650	 -0.065	  1.030
       0:00.653	 -0.065	  0.980
       0:00.656	 -0.070	  0.910
       0:00.658	 -0.070	  0.835
       0:00.661	 -0.090	  0.760
       0:00.664	 -0.105	  0.715
       0:00.667	 -0.105	  0.655
       0:00.669	 -0.105	  0.615
       0:00.672	 -0.110	  0.555
       0:00.675	 -0.110	  0.495
       0:00.678	 -0.140	  0.445
       0:00.681	 -0.150	  0.400
       0:00.683	 -0.150	  0.365
       0:00.686	 -0.155	  0.325
       0:00.689	 -0.150	  0.275
       0:00.692	 -0.155	  0.235
       0:00.694	 -0.185	  0.185
       0:00.697	 -0.185	  0.160
       0:00.700	 -0.180	  0.150
       0:00.703	 -0.185	  0.135
       0:00.706	 -0.175	  0.100
       0:00.708	 -0.190	  0.075
       0:00.711	 -0.205	  0.045
       0:00.714	 -0.225	  0.020
       0:00.717	 -0.220	  0.030
       0:00.719	 -0.205	  0.020
       0:00.722	 -0.200	  0.000
       0:00.725	 -0.215	 -0.015
       0:00.728	 -0.225	 -0.020
       0:00.731	 -0.225	 -0.035
       0:00.733	 -0.230	 -0.035
       0:00.736	 -0.230	 -0.040
       0:00.739	 -0.225	 -0.050
       0:00.742	 -0.225	 -0.070
       0:00.744	 -0.230	 -0.070
       0:00.747	 -0.240	 -0.065
       0:00.750	 -0.245	 -0.070
       0:00.753	 -0.230	 -0.055
       0:00.756	 -0.235	 -0.070
       0:00.758	 -0.230	 -0.075
       0:00.761	 -0.245	 -0.080
       0:00.764	 -0.250	 -0.085
       0:00.767	 -0.230	 -0.070
       0:00.769	 -0.235	 -0.065
       0:00.772	 -0.230	 -0.070
       0:00.775	 -0.235	 -0.070
       0:00.778	 -0.250	 -0.080
       0:00.781	 -0.245	 -0.085
       0:00.783	 -0.245	 -0.075
       0:00.786	 -0.235	 -0.055
       0:00.789	 -0.240	 -0.060
       0:00.792	 -0.230	 -0.060
       0:00.794	 -0.235	 -0.065
       0:00.797	 -0.245	 -0.070
       0:00.800	 -0.235	 -0.060
       0:00.803	 -0.230	 -0.040
       0:00.806	 -0.225	 -0.035
       0:00.808	 -0.220	 -0.040
       0:00.811	 -0.220	 -0.040
       0:00.814	 -0.235	 -0.040
       0:00.817	 -0.230	 -0.040
       0:00.819	 -0.220	 -0.020
       0:00.822	 -0.205	 -0.020
       0:00.825	 -0.225	 -0.040
       0:00.828	 -0.230	 -0.030
       0:00.831	 -0.230	 -0.035
       0:00.833	 -0.230	 -0.015
       0:00.836	 -0.215	 -0.020
       0:00.839	 -0.215	 -0.020
       0:00.842	 -0.220	 -0.030
       0:00.844	 -0.235	 -0.025
       0:00.847	 -0.240	 -0.030
       0:00.850	 -0.235	 -0.035
       0:00.853	 -0.230	 -0.015
       0:00.856	 -0.225	 -0.020
       0:00.858	 -0.230	 -0.035
       0:00.861	 -0.250	 -0.045
       0:00.864	 -0.255	 -0.045
       0:00.867	 -0.245	 -0.035
       0:00.869	 -0.240	 -0.040
       0:00.872	 -0.240	 -0.045
       0:00.875	 -0.240	 -0.045
       0:00.878	 -0.255	 -0.060
       0:00.881	 -0.255	 -0.080
       0:00.883	 -0.260	 -0.065
       0:00.886	 -0.245	 -0.060
       0:00.889	 -0.245	 -0.065
       0:00.892	 -0.250	 -0.090
       0:00.894	 -0.265	 -0.095
       0:00.897	 -0.275	 -0.100
       0:00.900	 -0.270	 -0.095
       0:00.903	 -0.250	 -0.100
       0:00.906	 -0.255	 -0.105
       0:00.908	 -0.270	 -0.115
       0:00.911	 -0.275	 -0.135
       0:00.914	 -0.285	 -0.140
       0:00.917	 -0.285	 -0.135
       0:00.919	 -0.265	 -0.120
       0:00.922	 -0.275	 -0.135
       0:00.925	 -0.275	 -0.145
       0:00.928	 -0.280	 -0.155
       0:00.931	 -0.290	 -0.150
       0:00.933	 -0.275	 -0.150
       0:00.936	 -0.275	 -0.150
       0:00.939	 -0.265	 -0.155
       0:00.942	 -0.275	 -0.160
       0:00.944	 -0.290	 -0.170
       0:00.947	 -0.305	 -0.180
       0:00.950	 -0.300	 -0.170
       0:00.953	 -0.290	 -0.165
       0:00.956	 -0.285	 -0.180
       0:00.958	 -0.285	 -0.185
       0:00.961	 -0.295	 -0.190
       0:00.964	 -0.305	 -0.185
       0:00.967	 -0.290	 -0.185
       0:00.969	 -0.295	 -0.185
       0:00.972	 -0.275	 -0.195
       0:00.975	 -0.275	 -0.190
       0:00.978	 -0.305	 -0.205
       0:00.981	 -0.295	 -0.210
       0:00.983	 -0.300	 -0.205
       0:00.986	 -0.285	 -0.200
       0:00.989	 -0.280	 -0.210
       0:00.992	 -0.290	 -0.215
       0:00.994	 -0.305	 -0.220
       0:00.997	 -0.300	 -0.225
       0:01.000	 -0.305	 -0.215
       0:01.003	 -0.290	 -0.205
       0:01.006	 -0.295	 -0.220
       0:01.008	 -0.290	 -0.215
       0:01.011	 -0.305	 -0.235
       0:01.014	 -0.310	 -0.230
       0:01.017	 -0.310	 -0.220
       0:01.019	 -0.290	 -0.215
       0:01.022	 -0.290	 -0.215
       0:01.025	 -0.300	 -0.220
       0:01.028	 -0.295	 -0.225
       0:01.031	 -0.305	 -0.225
       0:01.033	 -0.300	 -0.220
       0:01.036	 -0.295	 -0.215
       0:01.039	 -0.290	 -0.220
       0:01.042	 -0.290	 -0.215
       0:01.044	 -0.295	 -0.245
       0:01.047	 -0.300	 -0.235
       0:01.050	 -0.285	 -0.230
       0:01.053	 -0.280	 -0.215
       0:01.056	 -0.285	 -0.230
       0:01.058	 -0.275	 -0.230
       0:01.061	 -0.305	 -0.245
       0:01.064	 -0.295	 -0.235
       0:01.067	 -0.290	 -0.230
       0:01.069	 -0.285	 -0.210
       0:01.072	 -0.280	 -0.215
       0:01.075	 -0.285	 -0.230
       0:01.078	 -0.300	 -0.230
       0:01.081	 -0.305	 -0.240
       0:01.083	 -0.305	 -0.220
       0:01.086	 -0.290	 -0.205
       0:01.089	 -0.290	 -0.205
       0:01.092	 -0.280	 -0.215
       0:01.094	 -0.285	 -0.210
       0:01.097	 -0.285	 -0.205
       0:01.100	 -0.275	 -0.170
       0:01.103	 -0.270	 -0.140
       0:01.106	 -0.260	 -0.135
       0:01.108	 -0.260	 -0.150
       0:01.111	 -0.255	 -0.130
       0:01.114	 -0.255	 -0.065
       0:01.117	 -0.230	  0.125
       0:01.119	 -0.190	  0.490
       0:01.122	 -0.155	  0.790
       0:01.125	 -0.100	  0.745
       0:01.128	  0.010	  0.495
       0:01.131	  0.240	  0.320
       0:01.133	  0.630	  0.245
       0:01.136	  0.915	  0.210
       0:01.139	  0.885	  0.140
       0:01.142	  0.595	  0.075
       0:01.144	  0.320	 -0.010
       0:01.147	  0.200	 -0.110
       0:01.150	  0.190	 -0.210
       0:01.153	  0.210	 -0.350
       0:01.156	  0.205	 -0.515
       0:01.158	  0.210	 -0.695
       0:01.161	  0.195	 -0.885
       0:01.164	  0.190	 -1.105
       0:01.167	  0.200	 -1.270
       0:01.169	  0.225	 -1.405
       0:01.172	  0.230	 -1.530
       0:01.175	  0.220	 -1.660
       0:01.178	  0.205	 -1.815
       0:01.181	  0.185	 -2.015
       0:01.183	  0.195	 -2.225
       0:01.186	  0.180	 -2.420
       0:01.189	  0.175	 -2.570
       0:01.192	  0.155	 -2.710
       0:01.194	  0.115	 -2.830
       0:01.197	  0.070	 -2.935
       0:01.200	  0.045	 -3.025
       0:01.203	  0.000	 -3.085
       0:01.206	 -0.040	 -3.125
       0:01.208	 -0.105	 -3.170
       0:01.211	 -0.155	 -3.205
       0:01.214	 -0.215	 -3.220
       0:01.217	 -0.280	 -3.240
       0:01.219	 -0.350	 -3.220
       0:01.222	 -0.405	 -3.230
       0:01.225	 -0.450	 -3.245
       0:01.228	 -0.440	 -3.240
       0:01.231	 -0.390	 -3.210
       0:01.233	 -0.330	 -3.170
       0:01.236	 -0.285	 -3.095
       0:01.239	 -0.280	 -2.990
       0:01.242	 -0.305	 -2.875
       0:01.244	 -0.325	 -2.755
       0:01.247	 -0.365	 -2.590
       0:01.250	 -0.360	 -2.390
       0:01.253	 -0.350	 -2.175
       0:01.256	 -0.335	 -1.940
       0:01.258	 -0.310	 -1.720
       0:01.261	 -0.290	 -1.480
       0:01.264	 -0.290	 -1.200
       0:01.267	 -0.290	 -0.960
       0:01.269	 -0.310	 -0.745
       0:01.272	 -0.320	 -0.540
       0:01.275	 -0.335	 -0.340
       0:01.278	 -0.340	 -0.140
       0:01.281	 -0.345	  0.030
       0:01.283	 -0.355	  0.190
       0:01.286	 -0.335	  0.355
       0:01.289	 -0.335	  0.460
       0:01.292	 -0.335	  0.550
       0:01.294	 -0.340	  0.635
       0:01.297	 -0.345	  0.675
       0:01.300	 -0.330	  0.745
       0:01.303	 -0.320	  0.795
       0:01.306	 -0.305	  0.840
       0:01.308	 -0.300	  0.885
       0:01.311	 -0.300	  0.920
       0:01.314	 -0.300	  0.960
       0:01.317	 -0.290	  1.010
       0:01.319	 -0.285	  1.050
       0:01.322	 -0.285	  1.085
       0:01.325	 -0.280	  1.110
       0:01.328	 -0.290	  1.140
       0:01.331	 -0.280	  1.185
       0:01.333	 -0.285	  1.230
       0:01.336	 -0.265	  1.275
       0:01.339	 -0.265	  1.300
       0:01.342	 -0.270	  1.320
       0:01.344	 -0.265	  1.350
       0:01.347	 -0.270	  1.400
       0:01.350	 -0.265	  1.435
       0:01.353	 -0.250	  1.490
       0:01.356	 -0.245	  1.515
       0:01.358	 -0.245	  1.550
       0:01.361	 -0.245	  1.570
       0:01.364	 -0.250	  1.625
       0:01.367	 -0.250	  1.665
       0:01.369	 -0.225	  1.700
       0:01.372	 -0.225	  1.735
       0:01.375	 -0.230	  1.760
       0:01.378	 -0.235	  1.785
       0:01.381	 -0.245	  1.830
       0:01.383	 -0.215	  1.860
       0:01.386	 -0.210	  1.900
       0:01.389	 -0.195	  1.920
       0:01.392	 -0.200	  1.925
       0:01.394	 -0.200	  1.935
       0:01.397	 -0.205	  1.960
       0:01.400	 -0.195	  1.965
       0:01.403	 -0.170	  1.985
       0:01.406	 -0.160	  1.980
       0:01.408	 -0.165	  1.960
       0:01.411	 -0.160	  1.935
       0:01.414	 -0.165	  1.925
       0:01.417	 -0.145	  1.915
       0:01.419	 -0.135	  1.895
       0:01.422	 -0.135	  1.860
       0:01.425	 -0.135	  1.810
       0:01.428	 -0.130	  1.760
       0:01.431	 -0.135	  1.725
       0:01.433	 -0.125	  1.675
       0:01.436	 -0.120	  1.630
       0:01.439	 -0.110	  1.555
       0:01.442	 -0.125	  1.490
       0:01.444	 -0.125	  1.420
       0:01.447	 -0.135	  1.350
       0:01.450	 -0.130	  1.300
       0:01.453	 -0.125	  1.235
       0:01.456	 -0.120	  1.160
       0:01.458	 -0.125	  1.065
       0:01.461	 -0.130	  1.000
       0:01.464	 -0.140	  0.930
       0:01.467	 -0.135	  0.875
       0:01.469	 -0.135	  0.830
       0:01.472	 -0.130	  0.760
       0:01.475	 -0.135	  0.690
       0:01.478	 -0.150	  0.635
       0:01.481	 -0.160	  0.575
       0:01.483	 -0.160	  0.540
       0:01.486	 -0.145	  0.495
       0:01.489	 -0.150	  0.445
       0:01.492	 -0.155	  0.400
       0:01.494	 -0.175	  0.340
       0:01.497	 -0.190	  0.295
       0:01.500	 -0.185	  0.280
       0:01.503	 -0.185	  0.245
       0:01.506	 -0.185	  0.205
       0:01.508	 -0.190	  0.170
       0:01.511	 -0.205	  0.140
       0:01.514	 -0.205	  0.115
       0:01.517	 -0.205	  0.110
       0:01.519	 -0.200	  0.095
       0:01.522	 -0.205	  0.065
       0:01.525	 -0.210	  0.045
       0:01.528	 -0.230	  0.030
       0:01.531	 -0.220	  0.025
       0:01.533	 -0.225	  0.015
       0:01.536	 -0.215	  0.020
       0:01.539	 -0.220	  0.005
       0:01.542	 -0.220	 -0.020
       0:01.544	 -0.230	 -0.035
       0:01.547	 -0.225	 -0.035
       0:01.550	 -0.220	 -0.040
       0:01.553	 -0.225	 -0.020
       0:01.556	 -0.230	 -0.040
       0:01.558	 -0.230	 -0.045
       0:01.561	 -0.235	 -0.050
       0:01.564	 -0.240	 -0.055
       0:01.567	 -0.225	 -0.045
       0:01.569	 -0.225	 -0.025
       0:01.572	 -0.225	 -0.035
       0:01.575	 -0.220	 -0.040
       0:01.578	 -0.225	 -0.050
       0:01.581	 -0.235	 -0.055
       0:01.583	 -0.225	 -0.035
       0:01.586	 -0.220	 -0.030
       0:01.589	 -0.210	 -0.025
       0:01.592	 -0.215	 -0.035
       0:01.594	 -0.230	 -0.035
       0:01.597	 -0.235	 -0.035
       0:01.600	 -0.225	 -0.030
       0:01.603	 -0.210	 -0.015
       0:01.606	 -0.210	 -0.020
       0:01.608	 -0.220	 -0.015
       0:01.611	 -0.220	 -0.030
       0:01.614	 -0.230	 -0.025
       0:01.617	 -0.225	 -0.005
       0:01.619	 -0.215	  0.005
       0:01.622	 -0.220	  0.000
       0:01.625	 -0.215	 -0.010
       0:01.628	 -0.230	 -0.015
       0:01.631	 -0.230	 -0.030
       0:01.633	 -0.220	 -0.025
       0:01.636	 -0.210	 -0.005
       0:01.639	 -0.215	  0.005
       0:01.642	 -0.215	 -0.020
       0:01.644	 -0.225	 -0.035
       0:01.647	 -0.225	 -0.035
       0:01.650	 -0.225	 -0.030
       0:01.653	 -0.215	 -0.025
       0:01.656	 -0.220	 -0.030
       0:01.658	 -0.235	 -0.040
       0:01.661	 -0.240	 -0.055
       0:01.664	 -0.235	 -0.060
       0:01.667	 -0.240	 -0.050
       0:01.669	 -0.230	 -0.045
       0:01.672	 -0.225	 -0.050
       0:01.675	 -0.230	 -0.070
       0:01.678	 -0.240	 -0.085
       0:01.681	 -0.245	 -0.085
       0:01.683	 -0.245	 -0.085
       0:01.686	 -0.240	 -0.075
       0:01.689	 -0.230	 -0.095
       0:01.692	 -0.240	 -0.110
       0:01.694	 -0.245	 -0.125
       0:01.697	 -0.250	 -0.115
       0:01.700	 -0.250	 -0.115
       0:01.703	 -0.245	 -0.115
       0:01.706	 -0.240	 -0.130
       0:01.708	 -0.240	 -0.145
       0:01.711	 -0.255	 -0.150
       0:01.714	 -0.270	 -0.145
       0:01.717	 -0.255	 -0.150
       0:01.719	 -0.255	 -0.135
       0:01.722	 -0.245	 -0.155
       0:01.725	 -0.255	 -0.165
       0:01.728	 -0.260	 -0.175
       0:01.731	 -0.270	 -0.180
       0:01.733	 -0.265	 -0.175
       0:01.736	 -0.265	 -0.165
       0:01.739	 -0.265	 -0.170
       0:01.742	 -0.255	 -0.190
       0:01.744	 -0.265	 -0.185
       0:01.747	 -0.270	 -0.195
       0:01.750	 -0.275	 -0.190
       0:01.753	 -0.260	 -0.185
       0:01.756	 -0.260	 -0.180
       0:01.758	 -0.265	 -0.200
       0:01.761	 -0.270	 -0.215
       0:01.764	 -0.270	 -0.215
       0:01.767	 -0.275	 -0.205
       0:01.769	 -0.260	 -0.210
       0:01.772	 -0.255	 -0.215
       0:01.775	 -0.265	 -0.215
       0:01.778	 -0.280	 -0.230
       0:01.781	 -0.290	 -0.215
       0:01.783	 -0.285	 -0.215
       0:01.786	 -0.270	 -0.210
       0:01.789	 -0.265	 -0.205
       0:01.792	 -0.270	 -0.220
       0:01.794	 -0.280	 -0.230
       0:01.797	 -0.290	 -0.235
       0:01.800	 -0.290	 -0.215
       0:01.803	 -0.275	 -0.215
       0:01.806	 -0.265	 -0.225
       0:01.808	 -0.270	 -0.230
       0:01.811	 -0.290	 -0.235
       0:01.814	 -0.280	 -0.235
       0:01.817	 -0.275	 -0.235
       0:01.819	 -0.260	 -0.230
       0:01.822	 -0.260	 -0.220
       0:01.825	 -0.270	 -0.240
       0:01.828	 -0.285	 -0.240
       0:01.831	 -0.285	 -0.245
       0:01.833	 -0.270	 -0.245
       0:01.836	 -0.265	 -0.230
       0:01.839	 -0.270	 -0.230
       0:01.842	 -0.265	 -0.240
       0:01.844	 -0.285	 -0.250
       0:01.847	 -0.285	 -0.245
       0:01.850	 -0.280	 -0.235
       0:01.853	 -0.265	 -0.225
       0:01.856	 -0.265	 -0.235
       0:01.858	 -0.270	 -0.245
       0:01.861	 -0.270	 -0.260
       0:01.864	 -0.270	 -0.260
       0:01.867	 -0.265	 -0.235
       0:01.869	 -0.265	 -0.240
       0:01.872	 -0.265	 -0.240
       0:01.875	 -0.270	 -0.255
       0:01.878	 -0.270	 -0.255
       0:01.881	 -0.280	 -0.245
       0:01.883	 -0.280	 -0.245
       0:01.886	 -0.260	 -0.230
       0:01.889	 -0.255	 -0.230
       0:01.892	 -0.255	 -0.235
       0:01.894	 -0.260	 -0.255
       0:01.897	 -0.265	 -0.235
       0:01.900	 -0.255	 -0.225
       0:01.903	 -0.245	 -0.205
       0:01.906	 -0.235	 -0.205
       0:01.908	 -0.240	 -0.185
       0:01.911	 -0.230	 -0.125
       0:01.914	 -0.235	  0.065
       0:01.917	 -0.195	  0.445
       0:01.919	 -0.150	  0.835
       0:01.922	 -0.120	  0.890
       0:01.925	 -0.035	  0.635
       0:01.928	  0.170	  0.350
       0:01.931	  0.515	  0.220
       0:01.933	  0.870	  0.175
       0:01.936	  0.870	  0.120
       0:01.939	  0.570	  0.035
       0:01.942	  0.275	 -0.050
       0:01.944	  0.155	 -0.160
       0:01.947	  0.150	 -0.300
       0:01.950	  0.175	 -0.435
       0:01.953	  0.180	 -0.610
       0:01.956	  0.175	 -0.790
       0:01.958	  0.160	 -1.015
       0:01.961	  0.160	 -1.225
       0:01.964	  0.160	 -1.380
       0:01.967	  0.170	 -1.520
       0:01.969	  0.165	 -1.625
       0:01.972	  0.155	 -1.785
       0:01.975	  0.135	 -1.980
       0:01.978	  0.115	 -2.200
       0:01.981	  0.115	 -2.400
       0:01.983	  0.120	 -2.560
       0:01.986	  0.110	 -2.670
       0:01.989	  0.090	 -2.770
       0:01.992	  0.040	 -2.885
       0:01.994	  0.000	 -3.005
       0:01.997	 -0.060	 -3.090
       0:02.000	 -0.110	 -3.115
       0:02.003	 -0.160	 -3.150
       0:02.006	 -0.205	 -3.185
       0:02.008	 -0.270	 -3.215
       0:02.011	 -0.335	 -3.245
       0:02.014	 -0.425	 -3.250
       0:02.017	 -0.505	 -3.240
       0:02.019	 -0.530	 -3.245
       0:02.022	 -0.520	 -3.255
       0:02.025	 -0.480	 -3.250
       0:02.028	 -0.445	 -3.245
       0:02.031	 -0.405	 -3.220
       0:02.033	 -0.375	 -3.160
       0:02.036	 -0.345	 -3.080
       0:02.039	 -0.335	 -2.985
       0:02.042	 -0.340	 -2.870
       0:02.044	 -0.330	 -2.740
       0:02.047	 -0.320	 -2.545
       0:02.050	 -0.295	 -2.350
       0:02.053	 -0.270	 -2.090
       0:02.056	 -0.255	 -1.815
       0:02.058	 -0.225	 -1.540
       0:02.061	 -0.220	 -1.275
       0:02.064	 -0.225	 -1.000
       0:02.067	 -0.255	 -0.765
       0:02.069	 -0.270	 -0.530
       0:02.072	 -0.290	 -0.315
       0:02.075	 -0.305	 -0.125
       0:02.078	 -0.310	  0.055
       0:02.081	 -0.325	  0.250
