   Elapsed time	      I	     II	    III	    AVR	    AVL	    AVF	     V1	     V2	     V3	     V4	     V5	     V6
       0:00.132	  2.052	  1.729	 -2.931	 -3.304	  1.121	 -0.922	  0.993	 -0.415	 -0.990	  0.418	  2.559	-107.082
       0:00.136	  2.101	  1.788	 -2.922	 -3.356	  1.141	 -0.886	  1.003	 -0.402	 -0.971	  0.441	  2.592	-107.082
       0:00.140	  2.150	  1.784	 -2.974	 -3.379	  1.193	 -0.915	  1.003	 -0.402	 -0.967	  0.441	  2.582	-107.082
       0:00.144	  2.124	  1.755	 -2.977	 -3.353	  1.180	 -0.931	  1.000	 -0.408	 -0.974	  0.435	  2.565	-107.082
       0:00.148	  2.065	  1.725	 -2.948	 -3.307	  1.137	 -0.931	  1.000	 -0.412	 -0.977	  0.428	  2.542	-107.082
       0:00.152	  2.072	  1.761	 -2.918	 -3.330	  1.124	 -0.899	  1.013	 -0.389	 -0.954	  0.451	  2.565	-107.082
       0:00.156	  2.085	  1.755	 -2.938	 -3.333	  1.141	 -0.912	  1.026	 -0.369	 -0.935	  0.467	  2.585	-107.082
       0:00.160	  2.092	  1.752	 -2.948	 -3.333	  1.150	 -0.918	  1.023	 -0.366	 -0.928	  0.477	  2.605	-107.082
       0:00.163	  2.082	  1.752	 -2.938	 -3.330	  1.141	 -0.912	  1.000	 -0.386	 -0.948	  0.461	  2.585	-107.082
       0:00.167	  2.098	  1.748	 -2.958	 -3.337	  1.157	 -0.925	  0.977	 -0.402	 -0.964	  0.441	  2.542	-107.082
       0:00.171	  2.124	  1.748	 -2.984	 -3.350	  1.183	 -0.938	  0.984	 -0.392	 -0.958	  0.451	  2.542	-107.082
       0:00.175	  2.114	  1.748	 -2.974	 -3.343	  1.173	 -0.931	  1.003	 -0.379	 -0.941	  0.471	  2.562	-107.082
       0:00.179	  2.095	  1.765	 -2.938	 -3.343	  1.147	 -0.905	  1.003	 -0.373	 -0.931	  0.480	  2.592	-107.082
       0:00.183	  2.134	  1.797	 -2.944	 -3.376	  1.170	 -0.892	  1.003	 -0.363	 -0.918	  0.493	  2.611	-107.082
       0:00.187	  2.134	  1.771	 -2.971	 -3.363	  1.183	 -0.918	  0.984	 -0.373	 -0.928	  0.477	  2.575	-107.082
       0:00.191	  2.059	  1.725	 -2.941	 -3.304	  1.131	 -0.928	  0.971	 -0.392	 -0.941	  0.471	  2.539	-107.082
       0:00.195	  2.072	  1.765	 -2.915	 -3.330	  1.124	 -0.895	  0.974	 -0.382	 -0.925	  0.490	  2.549	-107.082
       0:00.198	  2.127	  1.794	 -2.941	 -3.373	  1.163	 -0.892	  0.993	 -0.353	 -0.889	  0.523	  2.601	-107.082
       0:00.202	  2.134	  1.801	 -2.941	 -3.379	  1.167	 -0.889	  1.000	 -0.337	 -0.873	  0.539	  2.634	-107.082
       0:00.206	  2.134	  1.797	 -2.944	 -3.376	  1.170	 -0.892	  0.980	 -0.350	 -0.879	  0.539	  2.631	-107.082
       0:00.210	  2.121	  1.807	 -2.922	 -3.376	  1.150	 -0.876	  0.977	 -0.346	 -0.869	  0.556	  2.657	-107.082
       0:00.214	  2.095	  1.797	 -2.905	 -3.356	  1.131	 -0.873	  0.984	 -0.337	 -0.856	  0.569	  2.680	-107.082
       0:00.218	  2.075	  1.781	 -2.902	 -3.340	  1.118	 -0.879	  0.974	 -0.343	 -0.853	  0.565	  2.663	-107.082
       0:00.222	  2.092	  1.810	 -2.889	 -3.363	  1.121	 -0.859	  0.971	 -0.337	 -0.840	  0.575	  2.654	-107.082
       0:00.226	  2.134	  1.846	 -2.895	 -3.402	  1.144	 -0.843	  0.977	 -0.314	 -0.814	  0.598	  2.660	-107.082
       0:00.230	  2.190	  1.866	 -2.931	 -3.438	  1.190	 -0.853	  0.967	 -0.304	 -0.794	  0.611	  2.673	-107.082
       0:00.233	  2.193	  1.869	 -2.931	 -3.441	  1.193	 -0.850	  0.935	 -0.317	 -0.801	  0.605	  2.673	-107.082
       0:00.237	  2.190	  1.859	 -2.938	 -3.435	  1.193	 -0.859	  0.941	 -0.297	 -0.775	  0.627	  2.670	-107.082
       0:00.241	  2.225	  1.902	 -2.931	 -3.474	  1.209	 -0.833	  0.954	 -0.268	 -0.742	  0.660	  2.690	-107.082
       0:00.245	  2.173	  1.895	 -2.886	 -3.444	  1.160	 -0.814	  0.958	 -0.258	 -0.722	  0.676	  2.696	-107.082
       0:00.249	  2.186	  1.938	 -2.856	 -3.474	  1.150	 -0.778	  0.961	 -0.242	 -0.699	  0.699	  2.716	-107.082
       0:00.253	  2.216	  1.941	 -2.882	 -3.490	  1.180	 -0.791	  0.948	 -0.225	 -0.673	  0.719	  2.712	-107.082
       0:00.257	  2.232	  1.908	 -2.931	 -3.480	  1.212	 -0.830	  0.941	 -0.206	 -0.650	  0.742	  2.712	-107.082
       0:00.261	  2.248	  1.902	 -2.954	 -3.487	  1.232	 -0.846	  0.931	 -0.193	 -0.634	  0.755	  2.712	-107.082
       0:00.265	  2.271	  1.895	 -2.984	 -3.493	  1.258	 -0.863	  0.912	 -0.193	 -0.624	  0.765	  2.712	-107.082
       0:00.268	  2.232	  1.869	 -2.971	 -3.461	  1.232	 -0.869	  0.922	 -0.167	 -0.592	  0.797	  2.732	-107.082
       0:00.272	  2.219	  1.925	 -2.902	 -3.484	  1.190	 -0.807	  0.941	 -0.127	 -0.549	  0.843	  2.771	-107.082
       0:00.276	  2.271	  1.964	 -2.915	 -3.529	  1.222	 -0.794	  0.935	 -0.111	 -0.529	  0.863	  2.781	-107.082
       0:00.280	  2.294	  1.954	 -2.948	 -3.536	  1.252	 -0.817	  0.931	 -0.105	 -0.526	  0.866	  2.758	-107.082
       0:00.284	  2.284	  1.938	 -2.954	 -3.523	  1.248	 -0.827	  0.918	 -0.108	 -0.529	  0.866	  2.735	-107.082
       0:00.288	  2.304	  1.928	 -2.984	 -3.526	  1.275	 -0.846	  0.918	 -0.101	 -0.520	  0.879	  2.729	-107.082
       0:00.292	  2.346	  1.954	 -3.000	 -3.562	  1.304	 -0.843	  0.922	 -0.082	 -0.503	  0.895	  2.735	-107.082
       0:00.296	  2.307	  1.948	 -2.967	 -3.539	  1.268	 -0.830	  0.905	 -0.095	 -0.516	  0.886	  2.742	-107.082
       0:00.300	  2.294	  1.948	 -2.954	 -3.533	  1.255	 -0.824	  0.895	 -0.118	 -0.539	  0.866	  2.735	-107.082
       0:00.304	  2.359	  1.980	 -2.987	 -3.582	  1.304	 -0.824	  0.892	 -0.127	 -0.559	  0.853	  2.745	-107.082
       0:00.307	  2.330	  1.967	 -2.971	 -3.559	  1.281	 -0.820	  0.902	 -0.150	 -0.592	  0.820	  2.745	-107.082
       0:00.311	  2.291	  1.954	 -2.944	 -3.533	  1.248	 -0.814	  0.876	 -0.203	 -0.654	  0.761	  2.748	-107.082
       0:00.315	  2.278	  1.935	 -2.951	 -3.516	  1.245	 -0.827	  0.866	 -0.248	 -0.716	  0.699	  2.703	-107.082
       0:00.319	  2.291	  1.931	 -2.967	 -3.523	  1.258	 -0.837	  0.869	 -0.284	 -0.765	  0.650	  2.673	-107.082
       0:00.323	  2.301	  1.941	 -2.967	 -3.533	  1.265	 -0.833	  0.869	 -0.317	 -0.810	  0.608	  2.667	-107.082
       0:00.327	  2.255	  1.905	 -2.958	 -3.490	  1.235	 -0.846	  0.869	 -0.359	 -0.863	  0.552	  2.624	-107.082
       0:00.331	  2.232	  1.902	 -2.938	 -3.477	  1.216	 -0.837	  0.866	 -0.386	 -0.899	  0.520	  2.621	-107.082
       0:00.335	  2.196	  1.879	 -2.925	 -3.448	  1.190	 -0.843	  0.876	 -0.399	 -0.925	  0.497	  2.621	-107.082
       0:00.339	  2.190	  1.876	 -2.922	 -3.444	  1.186	 -0.843	  0.895	 -0.402	 -0.938	  0.484	  2.614	-107.082
       0:00.342	  2.190	  1.850	 -2.948	 -3.431	  1.199	 -0.869	  0.895	 -0.422	 -0.967	  0.448	  2.578	-107.082
       0:00.346	  2.173	  1.837	 -2.944	 -3.415	  1.190	 -0.873	  0.895	 -0.438	 -0.987	  0.428	  2.565	-107.082
       0:00.350	  2.137	  1.820	 -2.925	 -3.389	  1.160	 -0.873	  0.922	 -0.422	 -0.980	  0.435	  2.588	-107.082
       0:00.354	  2.144	  1.833	 -2.918	 -3.399	  1.160	 -0.863	  0.931	 -0.422	 -0.987	  0.425	  2.582	-107.082
       0:00.358	  2.196	  1.856	 -2.948	 -3.438	  1.203	 -0.866	  0.922	 -0.431	 -0.997	  0.412	  2.556	-107.082
       0:00.362	  2.196	  1.856	 -2.948	 -3.438	  1.203	 -0.866	  0.915	 -0.438	 -1.007	  0.399	  2.546	-107.082
       0:00.366	  2.154	  1.843	 -2.918	 -3.408	  1.167	 -0.856	  0.935	 -0.425	 -0.997	  0.412	  2.569	-107.082
       0:00.370	  2.131	  1.824	 -2.915	 -3.389	  1.154	 -0.866	  0.931	 -0.428	 -1.003	  0.405	  2.562	-107.082
       0:00.374	  2.134	  1.804	 -2.938	 -3.379	  1.167	 -0.886	  0.928	 -0.435	 -1.016	  0.395	  2.546	-107.082
       0:00.377	  2.144	  1.814	 -2.938	 -3.389	  1.170	 -0.882	  0.931	 -0.428	 -1.010	  0.402	  2.556	-107.082
       0:00.381	  2.150	  1.827	 -2.931	 -3.399	  1.170	 -0.873	  0.925	 -0.435	 -1.016	  0.399	  2.549	-107.082
       0:00.385	  2.137	  1.830	 -2.915	 -3.395	  1.157	 -0.863	  0.915	 -0.448	 -1.026	  0.386	  2.529	-107.082
       0:00.389	  2.160	  1.850	 -2.918	 -3.415	  1.170	 -0.853	  0.915	 -0.451	 -1.023	  0.389	  2.493	-107.082
       0:00.393	  2.124	  1.814	 -2.918	 -3.379	  1.150	 -0.873	  0.931	 -0.438	 -1.013	  0.399	  2.487	-107.082
       0:00.397	  2.127	  1.791	 -2.944	 -3.369	  1.167	 -0.895	  0.931	 -0.438	 -1.016	  0.395	  2.497	-107.082
       0:00.401	  2.141	  1.791	 -2.958	 -3.376	  1.180	 -0.902	  0.918	 -0.444	 -1.023	  0.392	  2.523	-107.082
       0:00.405	  2.147	  1.791	 -2.964	 -3.379	  1.186	 -0.905	  0.915	 -0.444	 -1.020	  0.395	  2.542	-107.082
       0:00.409	  2.121	  1.784	 -2.944	 -3.363	  1.163	 -0.899	  0.915	 -0.454	 -1.026	  0.392	  2.552	-107.082
       0:00.412	  2.154	  1.788	 -2.974	 -3.382	  1.193	 -0.912	  0.908	 -0.458	 -1.026	  0.392	  2.556	-107.082
       0:00.416	  2.167	  1.830	 -2.944	 -3.408	  1.186	 -0.876	  0.915	 -0.448	 -1.013	  0.405	  2.569	-107.082
       0:00.420	  2.154	  1.824	 -2.938	 -3.399	  1.176	 -0.876	  0.922	 -0.441	 -1.013	  0.405	  2.552	-107.082
       0:00.424	  2.170	  1.810	 -2.967	 -3.402	  1.199	 -0.899	  0.915	 -0.444	 -1.016	  0.399	  2.539	-107.082
       0:00.428	  2.144	  1.804	 -2.948	 -3.386	  1.176	 -0.892	  0.938	 -0.428	 -1.000	  0.412	  2.549	-107.082
       0:00.432	  2.124	  1.804	 -2.928	 -3.376	  1.157	 -0.882	  0.944	 -0.422	 -0.993	  0.415	  2.559	-107.082
       0:00.436	  2.121	  1.778	 -2.951	 -3.359	  1.167	 -0.905	  0.941	 -0.425	 -0.993	  0.415	  2.559	-107.082
       0:00.440	  2.124	  1.768	 -2.964	 -3.356	  1.173	 -0.918	  0.938	 -0.431	 -1.000	  0.412	  2.569	-107.082
       0:00.444	  2.144	  1.771	 -2.980	 -3.369	  1.193	 -0.925	  0.925	 -0.448	 -1.010	  0.395	  2.562	-107.082
       0:00.447	  2.131	  1.788	 -2.951	 -3.369	  1.170	 -0.902	  0.931	 -0.438	 -1.000	  0.405	  2.565	-107.082
       0:00.451	  2.105	  1.765	 -2.948	 -3.346	  1.157	 -0.912	  0.941	 -0.438	 -1.000	  0.405	  2.549	-107.082
       0:00.455	  2.088	  1.748	 -2.948	 -3.330	  1.147	 -0.918	  0.938	 -0.438	 -1.003	  0.402	  2.546	-107.082
       0:00.459	  2.144	  1.810	 -2.941	 -3.389	  1.173	 -0.886	  0.944	 -0.425	 -0.987	  0.418	  2.562	-107.082
       0:00.463	  2.170	  1.807	 -2.971	 -3.399	  1.199	 -0.902	  0.931	 -0.441	 -1.007	  0.402	  2.552	-107.082
       0:00.467	  2.144	  1.775	 -2.977	 -3.369	  1.190	 -0.922	  0.931	 -0.444	 -1.013	  0.395	  2.549	-107.082
       0:00.471	  2.118	  1.807	 -2.918	 -3.373	  1.147	 -0.876	  0.941	 -0.428	 -0.997	  0.405	  2.578	-107.082
       0:00.475	  2.150	  1.830	 -2.928	 -3.402	  1.170	 -0.869	  0.941	 -0.425	 -0.993	  0.408	  2.559	-107.082
       0:00.479	  2.137	  1.843	 -2.902	 -3.402	  1.150	 -0.850	  0.948	 -0.428	 -0.997	  0.405	  2.549	-107.082
       0:00.482	  2.105	  1.804	 -2.908	 -3.366	  1.137	 -0.873	  0.938	 -0.438	 -1.010	  0.392	  2.549	-107.082
       0:00.486	  2.173	  1.804	 -2.977	 -3.399	  1.206	 -0.905	  0.915	 -0.461	 -1.033	  0.373	  2.533	-107.082
       0:00.490	  2.114	  1.794	 -2.928	 -3.366	  1.150	 -0.886	  0.928	 -0.454	 -1.026	  0.382	  2.539	-107.082
       0:00.494	  2.072	  1.794	 -2.886	 -3.346	  1.108	 -0.866	  0.954	 -0.431	 -1.007	  0.399	  2.542	-107.082
       0:00.498	  2.082	  1.758	 -2.931	 -3.333	  1.137	 -0.905	  0.948	 -0.441	 -1.020	  0.386	  2.533	-107.082
       0:00.502	  2.124	  1.778	 -2.954	 -3.363	  1.170	 -0.908	  0.944	 -0.438	 -1.023	  0.382	  2.523	-107.082
       0:00.506	  2.101	  1.788	 -2.922	 -3.356	  1.141	 -0.886	  0.951	 -0.431	 -1.020	  0.386	  2.523	-107.082
       0:00.510	  2.127	  1.814	 -2.922	 -3.382	  1.154	 -0.873	  0.964	 -0.412	 -0.993	  0.408	  2.559	-107.082
       0:00.514	  2.176	  1.850	 -2.935	 -3.425	  1.186	 -0.863	  0.948	 -0.418	 -0.997	  0.405	  2.572	-107.082
       0:00.518	  2.190	  1.853	 -2.944	 -3.431	  1.196	 -0.866	  0.931	 -0.444	 -1.020	  0.386	  2.542	-107.082
       0:00.521	  2.180	  1.830	 -2.958	 -3.415	  1.199	 -0.882	  0.931	 -0.451	 -1.026	  0.376	  2.523	-107.082
       0:00.525	  2.118	  1.824	 -2.902	 -3.382	  1.141	 -0.859	  0.948	 -0.438	 -1.020	  0.386	  2.523	-107.082
       0:00.529	  2.124	  1.837	 -2.895	 -3.392	  1.141	 -0.850	  0.944	 -0.435	 -1.016	  0.389	  2.536	-107.082
       0:00.533	  2.183	  1.827	 -2.964	 -3.415	  1.203	 -0.889	  0.938	 -0.444	 -1.026	  0.382	  2.533	-107.082
       0:00.537	  2.147	  1.788	 -2.967	 -3.379	  1.186	 -0.908	  0.951	 -0.431	 -1.023	  0.389	  2.536	-107.082
       0:00.541	  2.078	  1.807	 -2.879	 -3.353	  1.108	 -0.856	  0.971	 -0.418	 -1.016	  0.399	  2.546	-107.082
       0:00.545	  2.082	  1.820	 -2.869	 -3.363	  1.105	 -0.843	  0.964	 -0.425	 -1.020	  0.395	  2.546	-107.082
       0:00.549	  2.141	  1.824	 -2.925	 -3.392	  1.163	 -0.869	  0.948	 -0.435	 -1.033	  0.386	  2.533	-107.082
       0:00.553	  2.167	  1.820	 -2.954	 -3.405	  1.190	 -0.886	  0.941	 -0.441	 -1.039	  0.376	  2.516	-107.082
       0:00.556	  2.134	  1.797	 -2.944	 -3.376	  1.170	 -0.892	  0.935	 -0.454	 -1.049	  0.363	  2.497	-107.082
       0:00.560	  2.082	  1.768	 -2.922	 -3.337	  1.131	 -0.895	  0.941	 -0.451	 -1.049	  0.359	  2.493	-107.082
       0:00.564	  2.124	  1.788	 -2.944	 -3.366	  1.163	 -0.899	  0.941	 -0.448	 -1.042	  0.363	  2.500	-107.082
       0:00.568	  2.150	  1.830	 -2.928	 -3.402	  1.170	 -0.869	  0.938	 -0.451	 -1.042	  0.366	  2.516	-107.082
       0:00.572	  2.144	  1.866	 -2.886	 -3.415	  1.144	 -0.830	  0.941	 -0.438	 -1.026	  0.382	  2.542	-107.082
       0:00.576	  2.118	  1.843	 -2.882	 -3.392	  1.131	 -0.840	  0.935	 -0.438	 -1.029	  0.379	  2.533	-107.082
       0:00.580	  2.108	  1.817	 -2.899	 -3.373	  1.134	 -0.859	  0.922	 -0.441	 -1.029	  0.376	  2.520	-107.082
       0:00.584	  2.134	  1.856	 -2.886	 -3.405	  1.141	 -0.833	  0.922	 -0.435	 -1.013	  0.395	  2.552	-107.082
       0:00.588	  2.203	  1.915	 -2.895	 -3.471	  1.180	 -0.810	  0.902	 -0.435	 -1.007	  0.412	  2.582	-107.082
       0:00.591	  2.209	  1.915	 -2.902	 -3.474	  1.186	 -0.814	  0.908	 -0.425	 -0.993	  0.425	  2.578	-107.082
       0:00.595	  2.183	  1.899	 -2.892	 -3.451	  1.167	 -0.817	  0.908	 -0.425	 -0.993	  0.422	  2.569	-107.082
       0:00.599	  2.190	  1.915	 -2.882	 -3.464	  1.167	 -0.804	  0.886	 -0.438	 -1.003	  0.415	  2.575	-107.082
       0:00.603	  2.163	  1.928	 -2.843	 -3.458	  1.134	 -0.778	  0.863	 -0.458	 -1.013	  0.415	  2.578	-107.082
       0:00.607	  2.154	  1.922	 -2.840	 -3.448	  1.127	 -0.778	  0.846	 -0.464	 -1.020	  0.412	  2.585	-107.082
       0:00.611	  2.209	  1.951	 -2.866	 -3.490	  1.167	 -0.778	  0.830	 -0.458	 -1.010	  0.425	  2.611	-107.082
       0:00.615	  2.271	  1.987	 -2.892	 -3.539	  1.212	 -0.771	  0.801	 -0.458	 -1.003	  0.431	  2.631	-107.082
       0:00.619	  2.291	  2.000	 -2.899	 -3.556	  1.225	 -0.768	  0.758	 -0.464	 -1.007	  0.428	  2.641	-107.082
       0:00.623	  2.265	  1.971	 -2.902	 -3.529	  1.212	 -0.784	  0.735	 -0.477	 -1.013	  0.412	  2.631	-107.082
       0:00.626	  2.275	  1.925	 -2.958	 -3.510	  1.245	 -0.837	  0.729	 -0.500	 -1.039	  0.382	  2.601	-107.082
       0:00.630	  2.307	  1.922	 -2.993	 -3.526	  1.281	 -0.856	  0.745	 -0.503	 -1.056	  0.363	  2.588	-107.082
       0:00.634	  2.310	  1.882	 -3.036	 -3.507	  1.304	 -0.895	  0.752	 -0.513	 -1.075	  0.337	  2.569	-107.082
       0:00.638	  2.301	  1.873	 -3.036	 -3.497	  1.297	 -0.902	  0.761	 -0.516	 -1.085	  0.320	  2.562	-107.082
       0:00.642	  2.297	  1.886	 -3.020	 -3.503	  1.288	 -0.886	  0.768	 -0.510	 -1.078	  0.320	  2.569	-107.082
       0:00.646	  2.225	  1.830	 -3.003	 -3.438	  1.245	 -0.905	  0.791	 -0.507	 -1.075	  0.324	  2.559	-107.082
       0:00.650	  2.183	  1.791	 -3.000	 -3.399	  1.222	 -0.925	  0.824	 -0.497	 -1.065	  0.327	  2.549	-107.082
       0:00.654	  2.216	  1.843	 -2.980	 -3.441	  1.229	 -0.889	  0.859	 -0.484	 -1.052	  0.333	  2.569	-107.082
       0:00.658	  2.216	  1.895	 -2.928	 -3.467	  1.203	 -0.837	  0.892	 -0.467	 -1.039	  0.343	  2.592	-107.082
       0:00.661	  2.239	  1.876	 -2.971	 -3.467	  1.235	 -0.866	  0.908	 -0.454	 -1.033	  0.340	  2.588	-107.082
       0:00.665	  2.193	  1.817	 -2.984	 -3.415	  1.219	 -0.902	  0.908	 -0.471	 -1.052	  0.314	  2.559	-107.082
       0:00.669	  2.167	  1.794	 -2.980	 -3.392	  1.203	 -0.912	  0.925	 -0.461	 -1.052	  0.307	  2.546	-107.082
       0:00.673	  2.170	  1.804	 -2.974	 -3.399	  1.203	 -0.905	  0.948	 -0.435	 -1.033	  0.324	  2.562	-107.082
       0:00.677	  2.141	  1.775	 -2.974	 -3.369	  1.186	 -0.918	  0.944	 -0.441	 -1.036	  0.320	  2.565	-107.082
       0:00.681	  2.147	  1.748	 -3.007	 -3.359	  1.206	 -0.948	  0.931	 -0.464	 -1.062	  0.297	  2.533	-107.082
       0:00.685	  2.170	  1.745	 -3.033	 -3.369	  1.232	 -0.964	  0.931	 -0.464	 -1.065	  0.291	  2.516	-107.082
       0:00.689	  2.121	  1.761	 -2.967	 -3.353	  1.173	 -0.922	  0.958	 -0.444	 -1.049	  0.310	  2.536	-107.082
       0:00.693	  2.144	  1.778	 -2.974	 -3.373	  1.190	 -0.918	  0.958	 -0.444	 -1.049	  0.317	  2.542	-107.082
       0:00.696	  2.134	  1.775	 -2.967	 -3.366	  1.180	 -0.915	  0.954	 -0.451	 -1.056	  0.310	  2.549	-107.082
       0:00.700	  2.108	  1.778	 -2.938	 -3.353	  1.154	 -0.899	  0.958	 -0.448	 -1.056	  0.314	  2.556	-107.082
       0:00.704	  2.098	  1.742	 -2.964	 -3.333	  1.160	 -0.931	  0.958	 -0.454	 -1.062	  0.301	  2.529	-107.082
       0:00.708	  2.131	  1.752	 -2.987	 -3.353	  1.190	 -0.938	  0.961	 -0.454	 -1.059	  0.304	  2.539	-107.082
       0:00.712	  2.170	  1.797	 -2.980	 -3.395	  1.206	 -0.912	  0.971	 -0.435	 -1.039	  0.320	  2.562	-107.082
       0:00.716	  2.134	  1.771	 -2.971	 -3.363	  1.183	 -0.918	  1.020	 -0.389	 -1.020	  0.324	  2.523	-107.082
       0:00.720	  2.072	  1.722	 -2.958	 -3.310	  1.144	 -0.938	  1.069	 -0.350	 -0.997	  0.324	  2.471	-107.082
       0:00.724	  2.052	  1.719	 -2.941	 -3.297	  1.127	 -0.931	  1.105	 -0.337	 -0.980	  0.330	  2.461	-107.082
       0:00.728	  2.010	  1.712	 -2.905	 -3.275	  1.088	 -0.915	  1.141	 -0.297	 -0.938	  0.366	  2.467	-107.082
       0:00.732	  2.023	  1.712	 -2.918	 -3.281	  1.101	 -0.922	  1.160	 -0.232	 -0.863	  0.438	  2.487	-107.082
       0:00.735	  2.095	  1.837	 -2.866	 -3.376	  1.111	 -0.833	  1.163	 -0.124	 -0.693	  0.631	  2.621	-107.082
       0:00.739	  2.294	  2.059	 -2.843	 -3.588	  1.199	 -0.712	  1.101	  0.007	 -0.451	  0.918	  2.810	-107.082
