   Elapsed time	      I	     II	    III	    AVR	    AVL	    AVF	     V1	     V2	     V3	     V4	     V5	     V6
       0:00.300	  0.663	 -4.822	 -5.855	  2.025	  2.242	 -5.386	  2.859	 -8.748	-11.783	  0.376	 -4.796	  0.466
       0:00.304	  0.714	 -4.791	 -5.874	  1.984	  2.278	 -5.379	  2.859	 -8.735	-11.768	  0.392	 -4.779	  0.482
       0:00.307	  0.807	 -4.737	 -5.913	  1.910	  2.343	 -5.373	  2.863	 -8.721	-11.752	  0.408	 -4.765	  0.492
       0:00.311	  0.851	 -4.721	 -5.941	  1.881	  2.379	 -5.377	  2.863	 -8.711	-11.747	  0.408	 -4.763	  0.495
       0:00.315	  0.735	 -4.837	 -5.941	  1.997	  2.322	 -5.436	  2.840	 -8.737	-11.783	  0.371	 -4.804	  0.454
       0:00.319	  0.650	 -4.922	 -5.941	  2.082	  2.279	 -5.479	  2.840	 -8.758	-11.809	  0.340	 -4.838	  0.417
       0:00.323	  0.618	 -4.905	 -5.892	  2.090	  2.239	 -5.446	  2.869	 -8.734	-11.786	  0.359	 -4.825	  0.426
       0:00.327	  0.554	 -4.877	 -5.801	  2.108	  2.160	 -5.386	  2.904	 -8.698	-11.745	  0.400	 -4.784	  0.469
       0:00.331	  0.534	 -4.858	 -5.761	  2.108	  2.131	 -5.356	  2.908	 -8.690	-11.717	  0.426	 -4.752	  0.503
       0:00.335	  0.683	 -4.845	 -5.897	  2.026	  2.273	 -5.418	  2.859	 -8.724	-11.752	  0.392	 -4.786	  0.469
       0:00.339	  0.837	 -4.806	 -6.011	  1.930	  2.407	 -5.456	  2.835	 -8.730	-11.771	  0.374	 -4.802	  0.443
       0:00.342	  0.858	 -4.773	 -6.000	  1.904	  2.412	 -5.433	  2.846	 -8.708	-11.757	  0.389	 -4.784	  0.459
       0:00.346	  0.894	 -4.714	 -5.977	  1.856	  2.418	 -5.392	  2.866	 -8.688	-11.737	  0.413	 -4.761	  0.485
       0:00.350	  0.868	 -4.686	 -5.923	  1.855	  2.379	 -5.351	  2.895	 -8.660	-11.709	  0.438	 -4.737	  0.511
       0:00.354	  0.701	 -4.775	 -5.845	  1.982	  2.257	 -5.356	  2.915	 -8.654	-11.708	  0.436	 -4.737	  0.510
       0:00.358	  0.525	 -4.944	 -5.838	  2.155	  2.165	 -5.438	  2.891	 -8.708	-11.758	  0.381	 -4.789	  0.458
       0:00.362	  0.511	 -5.038	 -5.918	  2.209	  2.198	 -5.525	  2.845	 -8.766	-11.820	  0.325	 -4.845	  0.402
       0:00.366	  0.569	 -4.998	 -5.936	  2.160	  2.235	 -5.515	  2.848	 -8.758	-11.809	  0.345	 -4.830	  0.415
       0:00.370	  0.629	 -4.935	 -5.933	  2.098	  2.265	 -5.480	  2.861	 -8.743	-11.792	  0.363	 -4.809	  0.435
       0:00.374	  0.660	 -4.894	 -5.923	  2.062	  2.275	 -5.456	  2.864	 -8.740	-11.786	  0.373	 -4.799	  0.446
       0:00.377	  0.636	 -4.882	 -5.887	  2.069	  2.245	 -5.431	  2.873	 -8.729	-11.776	  0.386	 -4.784	  0.462
       0:00.381	  0.570	 -4.874	 -5.814	  2.098	  2.175	 -5.391	  2.899	 -8.698	-11.752	  0.415	 -4.755	  0.493
       0:00.385	  0.598	 -4.861	 -5.828	  2.077	  2.196	 -5.392	  2.891	 -8.704	-11.760	  0.408	 -4.765	  0.487
       0:00.389	  0.748	 -4.851	 -5.969	  1.997	  2.342	 -5.458	  2.843	 -8.753	-11.806	  0.364	 -4.812	  0.438
       0:00.393	  0.828	 -4.835	 -6.033	  1.949	  2.413	 -5.480	  2.825	 -8.760	-11.822	  0.348	 -4.822	  0.431
       0:00.397	  0.802	 -4.827	 -5.998	  1.958	  2.384	 -5.459	  2.838	 -8.742	-11.810	  0.364	 -4.797	  0.454
       0:00.401	  0.750	 -4.848	 -5.967	  1.995	  2.342	 -5.454	  2.853	 -8.734	-11.806	  0.371	 -4.781	  0.462
       0:00.405	  0.745	 -4.858	 -5.972	  2.002	  2.342	 -5.462	  2.858	 -8.737	-11.809	  0.373	 -4.766	  0.456
       0:00.409	  0.766	 -4.850	 -5.985	  1.987	  2.359	 -5.464	  2.851	 -8.745	-11.820	  0.368	 -4.761	  0.467
       0:00.412	  0.729	 -4.846	 -5.944	  2.005	  2.320	 -5.443	  2.861	 -8.737	-11.812	  0.376	 -4.750	  0.466
       0:00.416	  0.678	 -4.838	 -5.886	  2.026	  2.265	 -5.408	  2.882	 -8.722	-11.794	  0.394	 -4.725	  0.422
       0:00.420	  0.704	 -4.848	 -5.922	  2.018	  2.296	 -5.431	  2.876	 -8.730	-11.812	  0.374	 -4.752	  0.446
       0:00.424	  0.791	 -4.858	 -6.018	  1.979	  2.387	 -5.485	  2.843	 -8.763	-11.848	  0.337	 -4.794	  0.480
       0:00.428	  0.812	 -4.855	 -6.036	  1.967	  2.407	 -5.492	  2.835	 -8.771	-11.856	  0.337	 -4.792	  0.410
       0:00.432	  0.814	 -4.846	 -6.029	  1.962	  2.405	 -5.485	  2.842	 -8.763	-11.850	  0.340	 -4.809	  0.361
       0:00.436	  0.766	 -4.877	 -6.013	  2.002	  2.373	 -5.492	  2.851	 -8.758	-11.850	  0.333	 -4.837	  0.340
       0:00.440	  0.725	 -4.894	 -5.989	  2.029	  2.340	 -5.489	  2.861	 -8.757	-11.850	  0.332	 -4.866	  0.395
       0:00.444	  0.735	 -4.876	 -5.980	  2.016	  2.342	 -5.475	  2.869	 -8.753	-11.842	  0.340	 -4.851	  0.459
       0:00.447	  0.745	 -4.864	 -5.979	  2.005	  2.345	 -5.469	  2.861	 -8.763	-11.846	  0.338	 -4.848	  0.497
       0:00.451	  0.743	 -4.861	 -5.974	  2.005	  2.342	 -5.464	  2.859	 -8.766	-11.850	  0.335	 -4.858	  0.546
       0:00.455	  0.727	 -4.864	 -5.961	  2.015	  2.327	 -5.459	  2.871	 -8.752	-11.835	  0.348	 -4.828	  0.523
       0:00.459	  0.724	 -4.864	 -5.958	  2.016	  2.324	 -5.458	  2.882	 -8.742	-11.824	  0.356	 -4.814	  0.495
       0:00.463	  0.708	 -4.859	 -5.936	  2.021	  2.306	 -5.444	  2.891	 -8.737	-11.817	  0.359	 -4.810	  0.493
       0:00.467	  0.703	 -4.828	 -5.900	  2.008	  2.284	 -5.412	  2.905	 -8.721	-11.796	  0.379	 -4.796	  0.503
       0:00.471	  0.706	 -4.797	 -5.873	  1.992	  2.273	 -5.382	  2.920	 -8.701	-11.768	  0.400	 -4.779	  0.516
       0:00.475	  0.699	 -4.788	 -5.856	  1.990	  2.261	 -5.369	  2.933	 -8.690	-11.747	  0.410	 -4.765	  0.536
       0:00.479	  0.732	 -4.758	 -5.859	  1.959	  2.279	 -5.356	  2.941	 -8.680	-11.730	  0.422	 -4.748	  0.570
       0:00.482	  0.752	 -4.747	 -5.868	  1.943	  2.292	 -5.355	  2.975	 -8.652	-11.709	  0.435	 -4.730	  0.592
       0:00.486	  0.645	 -4.758	 -5.773	  2.002	  2.193	 -5.312	  3.023	 -8.621	-11.678	  0.461	 -4.694	  0.608
       0:00.490	  0.493	 -4.781	 -5.644	  2.090	  2.052	 -5.260	  3.039	 -8.608	-11.647	  0.490	 -4.658	  0.606
       0:00.494	  0.507	 -4.761	 -5.637	  2.074	  2.056	 -5.247	  2.997	 -8.626	-11.650	  0.489	 -4.663	  0.645
       0:00.498	  0.685	 -4.680	 -5.734	  1.943	  2.193	 -5.253	  2.892	 -8.686	-11.675	  0.472	 -4.665	  0.717
       0:00.502	  0.845	 -4.603	 -5.817	  1.825	  2.314	 -5.257	  2.819	 -8.735	-11.693	  0.469	 -4.619	  0.704
       0:00.506	  0.935	 -4.560	 -5.864	  1.758	  2.382	 -5.260	  2.799	 -8.745	-11.698	  0.475	 -4.574	  0.544
       0:00.510	  0.877	 -4.592	 -5.838	  1.802	  2.342	 -5.261	  2.822	 -8.732	-11.686	  0.480	 -4.587	  0.276
       0:00.514	  0.721	 -4.644	 -5.734	  1.907	  2.211	 -5.235	  2.864	 -8.704	-11.660	  0.489	 -4.681	  0.320
       0:00.518	  0.708	 -4.701	 -5.778	  1.943	  2.225	 -5.286	  2.874	 -8.704	-11.676	  0.444	 -4.810	  0.588
       0:00.521	  0.842	 -4.701	 -5.912	  1.876	  2.359	 -5.353	  2.840	 -8.737	-11.716	  0.400	 -4.833	  0.644
       0:00.525	  0.889	 -4.680	 -5.938	  1.842	  2.397	 -5.356	  2.842	 -8.730	-11.719	  0.400	 -4.807	  0.598
       0:00.529	  0.873	 -4.662	 -5.904	  1.840	  2.371	 -5.330	  2.879	 -8.701	-11.698	  0.420	 -4.776	  0.583
       0:00.533	  0.850	 -4.662	 -5.881	  1.851	  2.348	 -5.319	  2.913	 -8.668	-11.680	  0.430	 -4.765	  0.598
       0:00.537	  0.825	 -4.696	 -5.891	  1.881	  2.342	 -5.340	  2.897	 -8.685	-11.704	  0.407	 -4.776	  0.567
       0:00.541	  0.817	 -4.748	 -5.935	  1.912	  2.359	 -5.389	  2.874	 -8.729	-11.739	  0.373	 -4.801	  0.493
       0:00.545	  0.779	 -4.840	 -5.989	  1.975	  2.368	 -5.461	  2.869	 -8.765	-11.776	  0.327	 -4.845	  0.413
       0:00.549	  0.636	 -4.974	 -5.979	  2.114	  2.291	 -5.523	  2.859	 -8.807	-11.824	  0.281	 -4.895	  0.399
       0:00.553	  0.510	 -5.087	 -5.966	  2.234	  2.221	 -5.574	  2.840	 -8.853	-11.868	  0.237	 -4.930	  0.371
       0:00.556	  0.521	 -5.088	 -5.979	  2.229	  2.234	 -5.580	  2.840	 -8.855	-11.874	  0.229	 -4.926	  0.353
       0:00.560	  0.559	 -5.054	 -5.982	  2.193	  2.253	 -5.565	  2.863	 -8.824	-11.853	  0.250	 -4.897	  0.376
       0:00.564	  0.590	 -5.034	 -5.993	  2.168	  2.275	 -5.560	  2.869	 -8.810	-11.848	  0.255	 -4.884	  0.399
       0:00.568	  0.663	 -5.016	 -6.049	  2.123	  2.340	 -5.580	  2.855	 -8.819	-11.863	  0.240	 -4.900	  0.387
       0:00.572	  0.699	 -5.003	 -6.072	  2.098	  2.369	 -5.585	  2.848	 -8.817	-11.868	  0.239	 -4.905	  0.296
       0:00.576	  0.719	 -4.987	 -6.075	  2.080	  2.381	 -5.578	  2.845	 -8.820	-11.871	  0.239	 -4.917	  0.263
       0:00.580	  0.725	 -4.987	 -6.082	  2.077	  2.387	 -5.582	  2.846	 -8.814	-11.869	  0.239	 -4.931	  0.345
       0:00.584	  0.696	 -5.011	 -6.077	  2.103	  2.369	 -5.592	  2.866	 -8.792	-11.869	  0.239	 -4.928	  0.356
       0:00.588	  0.564	 -5.025	 -5.958	  2.176	  2.243	 -5.538	  2.925	 -8.730	-11.843	  0.261	 -4.900	  0.373
       0:00.591	  0.400	 -5.015	 -5.784	  2.253	  2.075	 -5.448	  2.985	 -8.686	-11.801	  0.309	 -4.846	  0.423
       0:00.595	  0.497	 -4.985	 -5.851	  2.190	  2.157	 -5.466	  2.949	 -8.757	-11.824	  0.301	 -4.848	  0.400
       0:00.599	  0.755	 -4.975	 -6.100	  2.056	  2.410	 -5.585	  2.855	 -8.815	-11.876	  0.242	 -4.910	  0.296
       0:00.603	  0.845	 -4.995	 -6.209	  2.021	  2.510	 -5.649	  2.869	 -8.729	-11.828	  0.229	 -4.954	  0.234
       0:00.607	  0.778	 -5.026	 -6.173	  2.070	  2.459	 -5.647	  3.011	 -8.459	-11.670	  0.260	 -4.982	  0.245
       0:00.611	  0.737	 -4.977	 -6.083	  2.065	  2.394	 -5.577	  3.175	 -8.163	-11.456	  0.342	 -4.949	  0.265
       0:00.615	  0.812	 -4.859	 -6.041	  1.969	  2.410	 -5.497	  3.203	 -8.041	-11.319	  0.454	 -4.861	  0.279
       0:00.619	  0.892	 -4.686	 -5.948	  1.843	  2.404	 -5.364	  3.085	 -8.180	-11.296	  0.593	 -4.706	  0.382
       0:00.623	  0.931	 -4.431	 -5.732	  1.696	  2.315	 -5.129	  2.817	 -8.788	-11.459	  0.740	 -4.479	  0.613
       0:00.626	  0.989	 -4.082	 -5.440	  1.492	  2.198	 -4.807	  2.389	 -9.649	-11.743	  0.935	 -4.155	  0.917
       0:00.630	  1.046	 -3.645	 -5.060	  1.245	  2.036	 -4.400	  1.943	-10.343	-12.020	  1.211	 -3.766	  1.243
       0:00.634	  1.039	 -3.242	 -4.650	  1.047	  1.828	 -3.993	  1.601	-10.815	-12.237	  1.521	 -3.391	  1.542
       0:00.638	  0.953	 -3.059	 -4.381	  0.998	  1.650	 -3.766	  1.366	-11.142	-12.392	  1.739	 -3.168	  1.717
       0:00.642	  0.889	 -3.430	 -4.688	  1.216	  1.771	 -4.106	  1.355	-11.095	-12.539	  1.547	 -3.361	  1.572
       0:00.646	  0.801	 -4.082	 -5.252	  1.587	  2.010	 -4.714	  1.601	-10.737	-12.645	  0.938	 -3.967	  1.193
       0:00.650	  0.634	 -4.673	 -5.676	  1.966	  2.139	 -5.222	  2.010	-10.322	-12.667	  0.270	 -4.729	  0.730
       0:00.654	  0.585	 -4.982	 -5.936	  2.144	  2.243	 -5.507	  2.320	 -9.891	-12.578	  0.067	 -4.987	  0.503
       0:00.658	  0.609	 -5.087	 -6.065	  2.185	  2.320	 -5.623	  2.531	 -9.495	-12.425	  0.070	 -4.979	  0.386
       0:00.661	  0.644	 -5.092	 -6.105	  2.170	  2.358	 -5.645	  2.680	 -9.191	-12.248	  0.105	 -4.946	  0.291
       0:00.665	  0.670	 -5.020	 -6.059	  2.121	  2.348	 -5.587	  2.776	 -8.995	-12.083	  0.175	 -4.933	  0.307
       0:00.669	  0.670	 -4.987	 -6.026	  2.105	  2.332	 -5.554	  2.846	 -8.864	-11.966	  0.232	 -4.943	  0.400
       0:00.673	  0.665	 -4.987	 -6.021	  2.106	  2.327	 -5.551	  2.881	 -8.797	-11.922	  0.242	 -4.925	  0.386
       0:00.677	  0.663	 -4.985	 -6.018	  2.106	  2.324	 -5.549	  2.902	 -8.755	-11.899	  0.248	 -4.913	  0.343
       0:00.681	  0.662	 -4.985	 -6.016	  2.108	  2.322	 -5.547	  2.917	 -8.725	-11.879	  0.247	 -4.915	  0.322
       0:00.685	  0.663	 -4.998	 -6.031	  2.113	  2.330	 -5.562	  2.930	 -8.704	-11.866	  0.242	 -4.938	  0.333
       0:00.689	  0.660	 -5.007	 -6.036	  2.119	  2.332	 -5.569	  2.940	 -8.688	-11.856	  0.240	 -4.933	  0.337
       0:00.693	  0.657	 -5.011	 -6.038	  2.123	  2.330	 -5.572	  2.944	 -8.676	-11.846	  0.242	 -4.925	  0.319
       0:00.696	  0.655	 -5.015	 -6.039	  2.126	  2.330	 -5.574	  2.946	 -8.667	-11.840	  0.240	 -4.931	  0.317
       0:00.700	  0.657	 -5.015	 -6.041	  2.124	  2.332	 -5.575	  2.943	 -8.652	-11.830	  0.247	 -4.928	  0.320
       0:00.704	  0.721	 -4.953	 -6.042	  2.062	  2.364	 -5.544	  2.954	 -8.621	-11.802	  0.271	 -4.900	  0.332
       0:00.708	  0.817	 -4.864	 -6.051	  1.969	  2.417	 -5.505	  2.989	 -8.582	-11.766	  0.302	 -4.869	  0.368
       0:00.712	  0.917	 -4.781	 -6.067	  1.877	  2.475	 -5.471	  2.993	 -8.552	-11.737	  0.325	 -4.843	  0.392
       0:00.716	  0.969	 -4.740	 -6.078	  1.832	  2.507	 -5.456	  2.977	 -8.533	-11.717	  0.337	 -4.830	  0.400
       0:00.720	  0.891	 -4.804	 -6.064	  1.902	  2.461	 -5.480	  2.969	 -8.552	-11.727	  0.322	 -4.845	  0.386
       0:00.724	  0.588	 -5.015	 -5.972	  2.158	  2.263	 -5.541	  2.967	 -8.600	-11.770	  0.281	 -4.889	  0.342
       0:00.728	  0.302	 -5.208	 -5.879	  2.397	  2.074	 -5.592	  2.962	 -8.634	-11.804	  0.239	 -4.930	  0.296
       0:00.732	  0.384	 -5.193	 -5.946	  2.350	  2.149	 -5.618	  2.958	 -8.647	-11.815	  0.219	 -4.948	  0.276
       0:00.735	  0.596	 -5.108	 -6.074	  2.201	  2.319	 -5.637	  2.936	 -8.649	-11.827	  0.203	 -4.959	  0.258
       0:00.739	  0.730	 -4.992	 -6.092	  2.077	  2.394	 -5.588	  2.938	 -8.605	-11.791	  0.237	 -4.922	  0.297
